#rhoc           M              M_0            R              k_love         
1.712087e-03   1.000000e+00   1.089118e+00   6.646223e+00   1.062094e-01   
1.739474e-03   1.021071e+00   1.114373e+00   6.646538e+00   1.040697e-01   
1.766862e-03   1.041859e+00   1.139401e+00   6.646616e+00   1.019187e-01   
1.794249e-03   1.062355e+00   1.164192e+00   6.646470e+00   9.976169e-02   
1.821636e-03   1.082551e+00   1.188722e+00   6.646138e+00   9.760156e-02   
1.849024e-03   1.102438e+00   1.212990e+00   6.645692e+00   9.543861e-02   
1.876411e-03   1.122012e+00   1.236981e+00   6.645258e+00   9.326927e-02   
1.903798e-03   1.141264e+00   1.260699e+00   6.639818e+00   9.144348e-02   
1.931186e-03   1.160191e+00   1.284107e+00   6.638563e+00   8.932640e-02   
1.958573e-03   1.178787e+00   1.307203e+00   6.637707e+00   8.719022e-02   
1.985960e-03   1.197049e+00   1.330002e+00   6.631508e+00   8.540944e-02   
2.013348e-03   1.214974e+00   1.352460e+00   6.630244e+00   8.331957e-02   
2.040735e-03   1.232559e+00   1.374603e+00   6.623745e+00   8.156954e-02   
2.068122e-03   1.249801e+00   1.396399e+00   6.622546e+00   7.950842e-02   
2.095510e-03   1.266700e+00   1.417863e+00   6.615519e+00   7.781390e-02   
2.122897e-03   1.283255e+00   1.438991e+00   6.608759e+00   7.611567e-02   
2.150284e-03   1.299465e+00   1.459760e+00   6.602127e+00   7.442515e-02   
2.177672e-03   1.315331e+00   1.480154e+00   6.600097e+00   7.249938e-02   
2.205059e-03   1.330852e+00   1.500212e+00   6.592789e+00   7.088777e-02   
2.232446e-03   1.346030e+00   1.519910e+00   6.585482e+00   6.929569e-02   
2.259834e-03   1.360867e+00   1.539244e+00   6.578128e+00   6.772722e-02   
2.287221e-03   1.375363e+00   1.558211e+00   6.570705e+00   6.618482e-02   
2.314608e-03   1.389521e+00   1.576812e+00   6.563198e+00   6.467022e-02   
2.341996e-03   1.403343e+00   1.595046e+00   6.555602e+00   6.318441e-02   
2.369383e-03   1.416832e+00   1.612916e+00   6.547952e+00   6.172637e-02   
2.396770e-03   1.429991e+00   1.630423e+00   6.540276e+00   6.029550e-02   
2.424158e-03   1.442822e+00   1.647550e+00   6.532602e+00   5.889101e-02   
2.451545e-03   1.455330e+00   1.664348e+00   6.519748e+00   5.774192e-02   
2.478932e-03   1.467518e+00   1.680743e+00   6.511504e+00   5.641159e-02   
2.506320e-03   1.479388e+00   1.696785e+00   6.503335e+00   5.510494e-02   
2.533707e-03   1.490947e+00   1.712455e+00   6.495314e+00   5.381927e-02   
2.561094e-03   1.502196e+00   1.727781e+00   6.487526e+00   5.255173e-02   
2.588482e-03   1.513142e+00   1.742758e+00   6.473865e+00   5.154503e-02   
2.615869e-03   1.523787e+00   1.757354e+00   6.465521e+00   5.035017e-02   
2.643256e-03   1.534136e+00   1.771610e+00   6.457554e+00   4.916805e-02   
2.670644e-03   1.544195e+00   1.785538e+00   6.443807e+00   4.822886e-02   
2.698031e-03   1.553967e+00   1.799080e+00   6.435372e+00   4.711432e-02   
2.725418e-03   1.563456e+00   1.812321e+00   6.422136e+00   4.619811e-02   
2.752806e-03   1.572669e+00   1.825181e+00   6.413278e+00   4.514769e-02   
2.780193e-03   1.581609e+00   1.837713e+00   6.405074e+00   4.410022e-02   
2.807580e-03   1.590282e+00   1.849938e+00   6.391123e+00   4.327251e-02   
2.834968e-03   1.598691e+00   1.861806e+00   6.382673e+00   4.228101e-02   
2.862355e-03   1.606843e+00   1.873379e+00   6.368852e+00   4.148868e-02   
2.889742e-03   1.614741e+00   1.884599e+00   6.360232e+00   4.054886e-02   
2.917130e-03   1.622391e+00   1.895536e+00   6.346432e+00   3.979468e-02   
2.944517e-03   1.629797e+00   1.906124e+00   6.337738e+00   3.890175e-02   
2.971904e-03   1.636965e+00   1.916444e+00   6.323870e+00   3.818738e-02   
2.999292e-03   1.643898e+00   1.926419e+00   6.315188e+00   3.733708e-02   
3.026679e-03   1.650603e+00   1.936141e+00   6.301203e+00   3.666259e-02   
3.054066e-03   1.657082e+00   1.945524e+00   6.292614e+00   3.585100e-02   
3.081454e-03   1.663342e+00   1.954647e+00   6.278465e+00   3.521617e-02   
3.108841e-03   1.669387e+00   1.963453e+00   6.270040e+00   3.443992e-02   
3.136228e-03   1.675222e+00   1.972009e+00   6.255690e+00   3.384408e-02   
3.163616e-03   1.680850e+00   1.980309e+00   6.242090e+00   3.324311e-02   
3.191003e-03   1.686277e+00   1.988281e+00   6.232929e+00   3.254190e-02   
3.218390e-03   1.691507e+00   1.996019e+00   6.219080e+00   3.197925e-02   
3.245778e-03   1.696544e+00   2.003460e+00   6.210203e+00   3.130605e-02   
3.273165e-03   1.701394e+00   2.010693e+00   6.196106e+00   3.077998e-02   
3.300552e-03   1.706059e+00   2.017633e+00   6.187555e+00   3.013260e-02   
3.327940e-03   1.710545e+00   2.024342e+00   6.173185e+00   2.964192e-02   
3.355327e-03   1.714856e+00   2.030829e+00   6.159521e+00   2.914721e-02   
3.382714e-03   1.718995e+00   2.037027e+00   6.150371e+00   2.856104e-02   
3.410102e-03   1.722966e+00   2.043027e+00   6.136427e+00   2.809982e-02   
3.437489e-03   1.726775e+00   2.048756e+00   6.127643e+00   2.753515e-02   
3.464876e-03   1.730424e+00   2.054313e+00   6.113441e+00   2.710527e-02   
3.492264e-03   1.733918e+00   2.059599e+00   6.105023e+00   2.656110e-02   
3.519651e-03   1.737259e+00   2.064694e+00   6.090563e+00   2.616100e-02   
3.547038e-03   1.740453e+00   2.069610e+00   6.076798e+00   2.575671e-02   
3.574426e-03   1.743502e+00   2.074240e+00   6.067788e+00   2.526466e-02   
3.601813e-03   1.746411e+00   2.078720e+00   6.053794e+00   2.488770e-02   
3.629200e-03   1.749182e+00   2.082962e+00   6.045116e+00   2.441386e-02   
3.656588e-03   1.751819e+00   2.087045e+00   6.030896e+00   2.406277e-02   
