#rhoc           M              M_0            R              k_love         
5.032582e-04   1.000000e+00   1.055950e+00   1.011045e+01   1.590015e-01   
5.162290e-04   1.044674e+00   1.105953e+00   1.014065e+01   1.563256e-01   
5.291997e-04   1.089346e+00   1.156213e+00   1.017031e+01   1.534019e-01   
5.421704e-04   1.133951e+00   1.206662e+00   1.019491e+01   1.505948e-01   
5.551411e-04   1.178422e+00   1.257219e+00   1.022288e+01   1.473056e-01   
5.681119e-04   1.222698e+00   1.307824e+00   1.024578e+01   1.441769e-01   
5.810826e-04   1.266721e+00   1.358407e+00   1.026809e+01   1.409060e-01   
5.940533e-04   1.310437e+00   1.408903e+00   1.029003e+01   1.375044e-01   
6.070240e-04   1.353793e+00   1.459258e+00   1.030604e+01   1.343589e-01   
6.199948e-04   1.396742e+00   1.509410e+00   1.032186e+01   1.311006e-01   
6.329655e-04   1.439238e+00   1.559296e+00   1.033689e+01   1.277885e-01   
6.459362e-04   1.481241e+00   1.608870e+00   1.035114e+01   1.244415e-01   
6.589069e-04   1.522713e+00   1.658077e+00   1.036515e+01   1.210425e-01   
6.718777e-04   1.563617e+00   1.706883e+00   1.037345e+01   1.179215e-01   
6.848484e-04   1.603923e+00   1.755235e+00   1.038144e+01   1.147687e-01   
6.978191e-04   1.643601e+00   1.803087e+00   1.038879e+01   1.116171e-01   
7.107898e-04   1.682625e+00   1.850405e+00   1.039562e+01   1.084720e-01   
7.237606e-04   1.720972e+00   1.897162e+00   1.039763e+01   1.055619e-01   
7.367313e-04   1.758622e+00   1.943305e+00   1.040306e+01   1.024726e-01   
7.497020e-04   1.795557e+00   1.988821e+00   1.040364e+01   9.962407e-02   
7.626727e-04   1.831761e+00   2.033675e+00   1.040379e+01   9.680112e-02   
7.756435e-04   1.867221e+00   2.077836e+00   1.040345e+01   9.401439e-02   
7.886142e-04   1.901927e+00   2.121287e+00   1.040283e+01   9.125981e-02   
8.015849e-04   1.935870e+00   2.164020e+00   1.039707e+01   8.875056e-02   
8.145556e-04   1.969042e+00   2.205984e+00   1.039535e+01   8.609441e-02   
8.275264e-04   2.001440e+00   2.247198e+00   1.038855e+01   8.367849e-02   
8.404971e-04   2.033059e+00   2.287627e+00   1.038158e+01   8.129795e-02   
8.534678e-04   2.063899e+00   2.327265e+00   1.037421e+01   7.896537e-02   
8.664385e-04   2.093960e+00   2.366092e+00   1.036639e+01   7.668587e-02   
8.794093e-04   2.123243e+00   2.404106e+00   1.035829e+01   7.445499e-02   
8.923800e-04   2.151750e+00   2.441300e+00   1.035018e+01   7.226530e-02   
9.053507e-04   2.179487e+00   2.477691e+00   1.033660e+01   7.030430e-02   
9.183214e-04   2.206457e+00   2.513223e+00   1.032777e+01   6.822223e-02   
9.312922e-04   2.232668e+00   2.547947e+00   1.031364e+01   6.635538e-02   
9.442629e-04   2.258126e+00   2.581833e+00   1.029970e+01   6.452085e-02   
9.572336e-04   2.282839e+00   2.614869e+00   1.029011e+01   6.259351e-02   
9.702043e-04   2.306816e+00   2.647091e+00   1.027528e+01   6.086920e-02   
9.831751e-04   2.330066e+00   2.678482e+00   1.026035e+01   5.918728e-02   
9.961458e-04   2.352599e+00   2.709047e+00   1.024531e+01   5.754922e-02   
1.009117e-03   2.374426e+00   2.738791e+00   1.023017e+01   5.595444e-02   
1.022087e-03   2.395558e+00   2.767726e+00   1.021502e+01   5.440074e-02   
1.035058e-03   2.416005e+00   2.795859e+00   1.019417e+01   5.303579e-02   
1.048029e-03   2.435781e+00   2.823180e+00   1.017830e+01   5.157835e-02   
1.060999e-03   2.454897e+00   2.849691e+00   1.016267e+01   5.015485e-02   
1.073970e-03   2.473365e+00   2.875447e+00   1.014164e+01   4.890064e-02   
1.086941e-03   2.491198e+00   2.900406e+00   1.012544e+01   4.756657e-02   
1.099912e-03   2.508408e+00   2.924616e+00   1.010445e+01   4.638007e-02   
1.112882e-03   2.525009e+00   2.948032e+00   1.008793e+01   4.512669e-02   
1.125853e-03   2.541013e+00   2.970737e+00   1.006664e+01   4.401412e-02   
1.138824e-03   2.556434e+00   2.992670e+00   1.005018e+01   4.283018e-02   
1.151794e-03   2.571284e+00   3.013909e+00   1.002841e+01   4.179228e-02   
1.164765e-03   2.585577e+00   3.034437e+00   1.000705e+01   4.077605e-02   
1.177736e-03   2.599324e+00   3.054225e+00   9.990202e+00   3.970021e-02   
1.190707e-03   2.612541e+00   3.073344e+00   9.968229e+00   3.875685e-02   
1.203677e-03   2.625238e+00   3.091789e+00   9.946490e+00   3.783711e-02   
1.216648e-03   2.637429e+00   3.109541e+00   9.930010e+00   3.684770e-02   
1.229619e-03   2.649127e+00   3.126667e+00   9.907696e+00   3.599525e-02   
1.242590e-03   2.660344e+00   3.143136e+00   9.885531e+00   3.516599e-02   
1.255560e-03   2.671093e+00   3.158989e+00   9.863472e+00   3.436025e-02   
1.268531e-03   2.681385e+00   3.174216e+00   9.841495e+00   3.357796e-02   
1.281502e-03   2.691233e+00   3.188845e+00   9.819581e+00   3.281890e-02   
1.294472e-03   2.700648e+00   3.202848e+00   9.802548e+00   3.200407e-02   
1.307443e-03   2.709643e+00   3.216285e+00   9.780181e+00   3.130052e-02   
1.320414e-03   2.718229e+00   3.229175e+00   9.757868e+00   3.061814e-02   
1.333385e-03   2.726416e+00   3.241491e+00   9.735609e+00   2.995638e-02   
1.346355e-03   2.734217e+00   3.253278e+00   9.713394e+00   2.931482e-02   
1.359326e-03   2.741642e+00   3.264527e+00   9.691216e+00   2.869300e-02   
1.372297e-03   2.748702e+00   3.275256e+00   9.669080e+00   2.809031e-02   
1.385268e-03   2.755407e+00   3.285491e+00   9.646990e+00   2.750615e-02   
1.398238e-03   2.761767e+00   3.295176e+00   9.630018e+00   2.686944e-02   
1.411209e-03   2.767793e+00   3.304424e+00   9.607590e+00   2.632784e-02   
