#rhoc           M              M_0            R              k_love         
8.162102e-04   1.000000e+00   1.073821e+00   8.101048e+00   1.517040e-01   
8.346056e-04   1.035037e+00   1.114288e+00   8.137861e+00   1.490825e-01   
8.530010e-04   1.068893e+00   1.153594e+00   8.168770e+00   1.466812e-01   
8.713965e-04   1.101629e+00   1.191779e+00   8.198716e+00   1.440636e-01   
8.897919e-04   1.133302e+00   1.228892e+00   8.227805e+00   1.412540e-01   
9.081873e-04   1.163962e+00   1.264993e+00   8.251003e+00   1.387096e-01   
9.265827e-04   1.193653e+00   1.300115e+00   8.273450e+00   1.360137e-01   
9.449781e-04   1.222418e+00   1.334282e+00   8.295249e+00   1.331893e-01   
9.633735e-04   1.250294e+00   1.367547e+00   8.311206e+00   1.306728e-01   
9.817689e-04   1.277316e+00   1.399932e+00   8.326676e+00   1.280519e-01   
1.000164e-03   1.303516e+00   1.431458e+00   8.341289e+00   1.253783e-01   
1.018560e-03   1.328924e+00   1.462152e+00   8.355401e+00   1.226454e-01   
1.036955e-03   1.353568e+00   1.492060e+00   8.364100e+00   1.202242e-01   
1.055351e-03   1.377474e+00   1.521185e+00   8.372532e+00   1.177466e-01   
1.073746e-03   1.400668e+00   1.549536e+00   8.385014e+00   1.149327e-01   
1.092141e-03   1.423173e+00   1.577178e+00   8.387051e+00   1.127879e-01   
1.110537e-03   1.445010e+00   1.604091e+00   8.393456e+00   1.103073e-01   
1.128932e-03   1.466201e+00   1.630296e+00   8.400063e+00   1.077897e-01   
1.147328e-03   1.486765e+00   1.655834e+00   8.400672e+00   1.056353e-01   
1.165723e-03   1.506723e+00   1.680708e+00   8.401308e+00   1.034589e-01   
1.184118e-03   1.526092e+00   1.704934e+00   8.401624e+00   1.012901e-01   
1.202514e-03   1.544889e+00   1.728532e+00   8.401503e+00   9.914224e-02   
1.220909e-03   1.563132e+00   1.751510e+00   8.401020e+00   9.701580e-02   
1.239305e-03   1.580836e+00   1.773883e+00   8.400390e+00   9.490327e-02   
1.257700e-03   1.598018e+00   1.795678e+00   8.394828e+00   9.307368e-02   
1.276096e-03   1.614692e+00   1.816887e+00   8.393235e+00   9.103278e-02   
1.294491e-03   1.630872e+00   1.837555e+00   8.387181e+00   8.924516e-02   
1.312886e-03   1.646572e+00   1.857655e+00   8.385299e+00   8.725120e-02   
1.331282e-03   1.661806e+00   1.877235e+00   8.378369e+00   8.553680e-02   
1.349677e-03   1.676587e+00   1.896296e+00   8.371434e+00   8.383735e-02   
1.368073e-03   1.690927e+00   1.914845e+00   8.364345e+00   8.216273e-02   
1.386468e-03   1.704838e+00   1.932894e+00   8.357021e+00   8.051854e-02   
