#rhoc           M              M_0            R              k_love         
1.200277e-03   1.000000e+00   1.080758e+00   7.703214e+00   1.012887e-01   
1.198254e-03   9.970416e-01   1.077292e+00   7.703141e+00   1.014157e-01   
1.196231e-03   9.940823e-01   1.073827e+00   7.703059e+00   1.015422e-01   
1.194208e-03   9.911222e-01   1.070362e+00   7.703070e+00   1.016613e-01   
1.192185e-03   9.881612e-01   1.066898e+00   7.703029e+00   1.017828e-01   
1.190162e-03   9.851994e-01   1.063436e+00   7.703024e+00   1.019006e-01   
1.188139e-03   9.822368e-01   1.059975e+00   7.702958e+00   1.020214e-01   
1.186116e-03   9.792735e-01   1.056513e+00   7.702929e+00   1.021387e-01   
1.184093e-03   9.763095e-01   1.053053e+00   7.702901e+00   1.022546e-01   
1.182070e-03   9.733448e-01   1.049595e+00   7.702864e+00   1.023700e-01   
1.180047e-03   9.703794e-01   1.046137e+00   7.702829e+00   1.024841e-01   
1.178024e-03   9.674135e-01   1.042680e+00   7.702772e+00   1.025983e-01   
1.176001e-03   9.644470e-01   1.039224e+00   7.702766e+00   1.027081e-01   
1.173978e-03   9.614800e-01   1.035769e+00   7.702706e+00   1.028201e-01   
1.171955e-03   9.585124e-01   1.032317e+00   7.702691e+00   1.029280e-01   
1.169932e-03   9.555444e-01   1.028864e+00   7.702650e+00   1.030363e-01   
1.167909e-03   9.525760e-01   1.025413e+00   7.702612e+00   1.031433e-01   
1.165886e-03   9.496072e-01   1.021964e+00   7.702816e+00   1.032327e-01   
1.163863e-03   9.466380e-01   1.018516e+00   7.702521e+00   1.033544e-01   
1.161840e-03   9.436685e-01   1.015069e+00   7.702513e+00   1.034555e-01   
1.159817e-03   9.406987e-01   1.011624e+00   7.701616e+00   1.036141e-01   
1.157794e-03   9.377286e-01   1.008179e+00   7.701585e+00   1.037143e-01   
1.155771e-03   9.347583e-01   1.004737e+00   7.701576e+00   1.038117e-01   
1.153748e-03   9.317879e-01   1.001297e+00   7.701571e+00   1.039075e-01   
1.151725e-03   9.288172e-01   9.978575e-01   7.701567e+00   1.040020e-01   
1.149702e-03   9.258465e-01   9.944196e-01   7.701544e+00   1.040964e-01   
1.147679e-03   9.228757e-01   9.909837e-01   7.701511e+00   1.041902e-01   
1.145656e-03   9.199049e-01   9.875498e-01   7.701488e+00   1.042819e-01   
1.143633e-03   9.169340e-01   9.841171e-01   7.701576e+00   1.043648e-01   
1.141610e-03   9.139632e-01   9.806860e-01   7.701557e+00   1.044536e-01   
1.139587e-03   9.109924e-01   9.772570e-01   7.701571e+00   1.045388e-01   
1.137564e-03   9.080218e-01   9.738300e-01   7.701621e+00   1.046202e-01   
1.135541e-03   9.050513e-01   9.704050e-01   7.701569e+00   1.047071e-01   
1.133518e-03   9.020809e-01   9.669807e-01   7.701748e+00   1.047769e-01   
1.131495e-03   8.991108e-01   9.635599e-01   7.701606e+00   1.048673e-01   
1.129472e-03   8.961409e-01   9.601401e-01   7.701827e+00   1.049314e-01   
1.127449e-03   8.931714e-01   9.567230e-01   7.701778e+00   1.050126e-01   
1.125426e-03   8.902021e-01   9.533079e-01   7.701662e+00   1.050969e-01   
1.123403e-03   8.872332e-01   9.498945e-01   7.701814e+00   1.051615e-01   
1.121380e-03   8.842647e-01   9.464839e-01   7.701810e+00   1.052353e-01   
1.119357e-03   8.812966e-01   9.430750e-01   7.701819e+00   1.053069e-01   
1.117334e-03   8.783290e-01   9.396680e-01   7.701905e+00   1.053717e-01   
1.115311e-03   8.753619e-01   9.362640e-01   7.701949e+00   1.054378e-01   
1.113288e-03   8.723954e-01   9.328620e-01   7.702027e+00   1.055003e-01   
1.111265e-03   8.694294e-01   9.294619e-01   7.702105e+00   1.055613e-01   
1.109242e-03   8.664641e-01   9.260647e-01   7.702156e+00   1.056226e-01   
1.107219e-03   8.634994e-01   9.226728e-01   7.702519e+00   1.056623e-01   
1.105196e-03   8.605354e-01   9.192804e-01   7.702547e+00   1.057222e-01   
1.103173e-03   8.575722e-01   9.158911e-01   7.702650e+00   1.057755e-01   
1.101150e-03   8.546097e-01   9.125044e-01   7.702667e+00   1.058333e-01   
1.099127e-03   8.516480e-01   9.091205e-01   7.702853e+00   1.058779e-01   
1.097104e-03   8.486872e-01   9.057381e-01   7.702750e+00   1.059409e-01   
1.095081e-03   8.457273e-01   9.023594e-01   7.702824e+00   1.059902e-01   
1.093058e-03   8.427683e-01   8.989829e-01   7.702713e+00   1.060507e-01   
1.091035e-03   8.398102e-01   8.956098e-01   7.703032e+00   1.060801e-01   
1.089012e-03   8.368532e-01   8.922391e-01   7.703094e+00   1.061256e-01   
1.086989e-03   8.338972e-01   8.888717e-01   7.703181e+00   1.061679e-01   
1.084966e-03   8.309422e-01   8.855067e-01   7.703264e+00   1.062090e-01   
