#rhoc           M              M_0            R              k_love         
7.898867e-04   1.000000e+00   1.072382e+00   8.836562e+00   1.163563e-01   
8.081707e-04   1.047704e+00   1.127328e+00   8.851389e+00   1.150571e-01   
8.264547e-04   1.094881e+00   1.182035e+00   8.866149e+00   1.134823e-01   
8.447386e-04   1.141142e+00   1.236044e+00   8.880619e+00   1.116822e-01   
8.630226e-04   1.186098e+00   1.288884e+00   8.893102e+00   1.097984e-01   
8.813066e-04   1.229377e+00   1.340089e+00   8.905214e+00   1.077672e-01   
8.995905e-04   1.270647e+00   1.389215e+00   8.917536e+00   1.055916e-01   
9.178745e-04   1.309625e+00   1.435907e+00   8.925951e+00   1.035516e-01   
9.361585e-04   1.346088e+00   1.479838e+00   8.933524e+00   1.014983e-01   
9.544425e-04   1.379886e+00   1.520777e+00   8.940260e+00   9.946553e-02   
9.727264e-04   1.411114e+00   1.558812e+00   8.943177e+00   9.763694e-02   
9.910104e-04   1.440062e+00   1.594222e+00   8.947801e+00   9.571578e-02   
1.009294e-03   1.467023e+00   1.627367e+00   8.948721e+00   9.399656e-02   
1.027578e-03   1.492274e+00   1.658539e+00   8.949130e+00   9.230630e-02   
1.045862e-03   1.516069e+00   1.688033e+00   8.948893e+00   9.065003e-02   
1.064146e-03   1.538638e+00   1.716116e+00   8.948183e+00   8.901505e-02   
1.082430e-03   1.560187e+00   1.743044e+00   8.944394e+00   8.752343e-02   
1.100714e-03   1.580898e+00   1.769012e+00   8.941973e+00   8.594988e-02   
1.118998e-03   1.600933e+00   1.794213e+00   8.940005e+00   8.433501e-02   
1.137282e-03   1.620429e+00   1.818845e+00   8.933686e+00   8.289760e-02   
1.155566e-03   1.639438e+00   1.842946e+00   8.927422e+00   8.142732e-02   
1.173850e-03   1.657948e+00   1.866493e+00   8.920728e+00   7.995294e-02   
1.192134e-03   1.675946e+00   1.889467e+00   8.913493e+00   7.848537e-02   
1.210418e-03   1.693423e+00   1.911853e+00   8.905697e+00   7.703083e-02   
1.228702e-03   1.710370e+00   1.933634e+00   8.897432e+00   7.559032e-02   
1.246986e-03   1.726785e+00   1.954798e+00   8.888893e+00   7.416052e-02   
1.265270e-03   1.742662e+00   1.975334e+00   8.880334e+00   7.273583e-02   
1.283554e-03   1.758002e+00   1.995262e+00   8.867995e+00   7.147244e-02   
1.301838e-03   1.772804e+00   2.014529e+00   8.858460e+00   7.010681e-02   
1.320122e-03   1.787070e+00   2.033177e+00   8.845884e+00   6.887570e-02   
1.338406e-03   1.800803e+00   2.051162e+00   8.835817e+00   6.756516e-02   
1.356690e-03   1.814008e+00   2.068531e+00   8.822596e+00   6.639564e-02   
1.374974e-03   1.826701e+00   2.085248e+00   8.812679e+00   6.512447e-02   
1.393258e-03   1.838902e+00   2.101391e+00   8.798705e+00   6.402562e-02   
1.411542e-03   1.850634e+00   2.116955e+00   8.784975e+00   6.293825e-02   
1.429826e-03   1.861915e+00   2.131959e+00   8.771232e+00   6.187203e-02   
1.448110e-03   1.872765e+00   2.146410e+00   8.760433e+00   6.072478e-02   
1.466394e-03   1.883202e+00   2.160371e+00   8.746087e+00   5.972229e-02   
1.484678e-03   1.893243e+00   2.173836e+00   8.731757e+00   5.873922e-02   
1.502962e-03   1.902903e+00   2.186824e+00   8.717433e+00   5.777571e-02   
1.521246e-03   1.912198e+00   2.199352e+00   8.703015e+00   5.683487e-02   
1.539530e-03   1.921142e+00   2.211436e+00   8.688403e+00   5.591946e-02   
