#rhoc           M              M_0            R              k_love         
7.901193e-04   1.000000e+00   1.072375e+00   8.836902e+00   1.163341e-01   
8.053706e-04   1.040085e+00   1.118516e+00   8.850063e+00   1.152137e-01   
8.206219e-04   1.080050e+00   1.164793e+00   8.861347e+00   1.140046e-01   
8.358733e-04   1.119815e+00   1.211093e+00   8.873874e+00   1.125212e-01   
8.511246e-04   1.159302e+00   1.257338e+00   8.885231e+00   1.109336e-01   
8.663759e-04   1.198441e+00   1.303439e+00   8.896751e+00   1.091758e-01   
8.816272e-04   1.237164e+00   1.349315e+00   8.907063e+00   1.073468e-01   
8.968785e-04   1.275410e+00   1.394881e+00   8.918126e+00   1.053460e-01   
9.121299e-04   1.313122e+00   1.440079e+00   8.926703e+00   1.033796e-01   
9.273812e-04   1.350250e+00   1.484830e+00   8.934951e+00   1.013336e-01   
9.426325e-04   1.386748e+00   1.529073e+00   8.942549e+00   9.924047e-02   
9.578838e-04   1.422581e+00   1.572755e+00   8.949475e+00   9.711412e-02   
9.731351e-04   1.457717e+00   1.615827e+00   8.955949e+00   9.495431e-02   
9.883865e-04   1.492128e+00   1.658257e+00   8.959753e+00   9.288694e-02   
1.003638e-03   1.525791e+00   1.699992e+00   8.964493e+00   9.073306e-02   
1.018889e-03   1.558688e+00   1.741004e+00   8.967049e+00   8.866011e-02   
1.034140e-03   1.590803e+00   1.781253e+00   8.970841e+00   8.650685e-02   
1.049392e-03   1.622123e+00   1.820731e+00   8.971748e+00   8.447988e-02   
1.064643e-03   1.652640e+00   1.859400e+00   8.972192e+00   8.246697e-02   
1.079894e-03   1.682349e+00   1.897243e+00   8.972102e+00   8.047738e-02   
1.095146e-03   1.711245e+00   1.934243e+00   8.971531e+00   7.851396e-02   
1.110397e-03   1.739328e+00   1.970385e+00   8.970639e+00   7.657447e-02   
1.125648e-03   1.766601e+00   2.005682e+00   8.966434e+00   7.478782e-02   
1.140900e-03   1.793068e+00   2.040092e+00   8.964189e+00   7.293497e-02   
1.156151e-03   1.818736e+00   2.073622e+00   8.962523e+00   7.108020e-02   
1.171402e-03   1.843616e+00   2.106307e+00   8.956260e+00   6.942932e-02   
1.186654e-03   1.867717e+00   2.138119e+00   8.950225e+00   6.779019e-02   
1.201905e-03   1.891050e+00   2.169059e+00   8.943963e+00   6.618309e-02   
1.217156e-03   1.913629e+00   2.199119e+00   8.940367e+00   6.450576e-02   
1.232408e-03   1.935466e+00   2.228348e+00   8.933141e+00   6.298838e-02   
1.247659e-03   1.956576e+00   2.256731e+00   8.925736e+00   6.150498e-02   
1.262910e-03   1.976973e+00   2.284274e+00   8.918115e+00   6.005779e-02   
1.278162e-03   1.996671e+00   2.310992e+00   8.910344e+00   5.864530e-02   
1.293413e-03   2.015688e+00   2.336894e+00   8.902527e+00   5.726474e-02   
1.308664e-03   2.034038e+00   2.362025e+00   8.890308e+00   5.605375e-02   
1.323916e-03   2.051737e+00   2.386335e+00   8.881569e+00   5.476125e-02   
1.339167e-03   2.068802e+00   2.409865e+00   8.872998e+00   5.349438e-02   
1.354418e-03   2.085248e+00   2.432667e+00   8.860396e+00   5.237756e-02   
1.369669e-03   2.101093e+00   2.454690e+00   8.851287e+00   5.118615e-02   
1.384921e-03   2.116352e+00   2.475977e+00   8.842576e+00   5.001395e-02   
1.400172e-03   2.131042e+00   2.496585e+00   8.829087e+00   4.900497e-02   
1.415423e-03   2.145180e+00   2.516453e+00   8.820098e+00   4.789892e-02   
1.430675e-03   2.158781e+00   2.535675e+00   8.806361e+00   4.694924e-02   
1.445926e-03   2.171861e+00   2.554223e+00   8.793134e+00   4.601072e-02   
1.461177e-03   2.184436e+00   2.572086e+00   8.783260e+00   4.501128e-02   
1.476429e-03   2.196521e+00   2.589348e+00   8.769545e+00   4.413607e-02   
1.491680e-03   2.208131e+00   2.605949e+00   8.760100e+00   4.317922e-02   
1.506931e-03   2.219281e+00   2.621982e+00   8.745884e+00   4.236498e-02   
1.522183e-03   2.229985e+00   2.637426e+00   8.731902e+00   4.156757e-02   
1.537434e-03   2.240257e+00   2.652290e+00   8.718232e+00   4.078497e-02   
1.552685e-03   2.250111e+00   2.666560e+00   8.707988e+00   3.994587e-02   
1.567937e-03   2.259560e+00   2.680324e+00   8.693741e+00   3.922114e-02   
1.583188e-03   2.268617e+00   2.693556e+00   8.679576e+00   3.851514e-02   
1.598439e-03   2.277296e+00   2.706270e+00   8.665652e+00   3.782397e-02   
1.613691e-03   2.285607e+00   2.718444e+00   8.655335e+00   3.707544e-02   
1.628942e-03   2.293563e+00   2.730172e+00   8.640870e+00   3.643609e-02   
1.644193e-03   2.301176e+00   2.741426e+00   8.626500e+00   3.581322e-02   
1.659445e-03   2.308457e+00   2.752218e+00   8.612203e+00   3.520683e-02   
1.674696e-03   2.315418e+00   2.762561e+00   8.598075e+00   3.461460e-02   
1.689947e-03   2.322068e+00   2.772428e+00   8.587737e+00   3.396469e-02   
1.705199e-03   2.328418e+00   2.781917e+00   8.573137e+00   3.341677e-02   
1.720450e-03   2.334478e+00   2.790998e+00   8.558656e+00   3.288249e-02   
1.735701e-03   2.340258e+00   2.799679e+00   8.544147e+00   3.236431e-02   
1.750952e-03   2.345767e+00   2.807975e+00   8.529822e+00   3.185779e-02   
1.766204e-03   2.351015e+00   2.815851e+00   8.520004e+00   3.128328e-02   
1.781455e-03   2.356010e+00   2.823407e+00   8.505239e+00   3.081501e-02   
1.796706e-03   2.360761e+00   2.830613e+00   8.490601e+00   3.035813e-02   
1.811958e-03   2.365275e+00   2.837478e+00   8.476086e+00   2.991241e-02   
1.827209e-03   2.369562e+00   2.844011e+00   8.461564e+00   2.947983e-02   
1.842460e-03   2.373629e+00   2.850222e+00   8.447234e+00   2.905654e-02   
1.857712e-03   2.377482e+00   2.856119e+00   8.432960e+00   2.864459e-02   
1.872963e-03   2.381130e+00   2.861669e+00   8.422742e+00   2.817684e-02   
1.888214e-03   2.384579e+00   2.866973e+00   8.408128e+00   2.779496e-02   
1.903466e-03   2.387837e+00   2.871994e+00   8.393593e+00   2.742291e-02   
1.918717e-03   2.390909e+00   2.876740e+00   8.379224e+00   2.705899e-02   
1.933968e-03   2.393802e+00   2.881218e+00   8.364996e+00   2.670334e-02   
1.949220e-03   2.396522e+00   2.885387e+00   8.355115e+00   2.628958e-02   
1.964471e-03   2.399075e+00   2.889355e+00   8.340496e+00   2.596108e-02   
1.979722e-03   2.401466e+00   2.893081e+00   8.326004e+00   2.564013e-02   
1.994974e-03   2.403702e+00   2.896572e+00   8.311711e+00   2.532542e-02   
2.010225e-03   2.405787e+00   2.899835e+00   8.297587e+00   2.501724e-02   
2.025476e-03   2.407726e+00   2.902823e+00   8.287711e+00   2.465472e-02   
2.040728e-03   2.409525e+00   2.905651e+00   8.273218e+00   2.437010e-02   
2.055979e-03   2.411188e+00   2.908272e+00   8.258884e+00   2.409134e-02   
2.071230e-03   2.412719e+00   2.910691e+00   8.244813e+00   2.381679e-02   
2.086482e-03   2.414125e+00   2.912862e+00   8.235160e+00   2.348709e-02   
2.101733e-03   2.415407e+00   2.914898e+00   8.220716e+00   2.323391e-02   
2.116984e-03   2.416571e+00   2.916752e+00   8.206480e+00   2.298510e-02   
2.132235e-03   2.417622e+00   2.918428e+00   8.192571e+00   2.273886e-02   
2.147487e-03   2.418561e+00   2.919878e+00   8.182824e+00   2.244257e-02   
2.162738e-03   2.419395e+00   2.921217e+00   8.168502e+00   2.221629e-02   
2.177989e-03   2.420125e+00   2.922398e+00   8.154557e+00   2.199141e-02   
2.193241e-03   2.420756e+00   2.923365e+00   8.145161e+00   2.171226e-02   
2.208492e-03   2.421291e+00   2.924237e+00   8.130820e+00   2.150574e-02   
2.223743e-03   2.421733e+00   2.924966e+00   8.116895e+00   2.129970e-02   
2.238995e-03   2.422085e+00   2.925496e+00   8.107637e+00   2.103893e-02   
2.254246e-03   2.422351e+00   2.925943e+00   8.093330e+00   2.084986e-02   
2.269497e-03   2.422533e+00   2.926262e+00   8.079521e+00   2.065985e-02   
2.284749e-03   2.422634e+00   2.926393e+00   8.070243e+00   2.041791e-02   
2.300000e-03   2.422658e+00   2.926458e+00   8.056105e+00   2.024313e-02   
