#rhoc           M              M_0            R              k_love         
1.013719e-03   1.000000e+00   1.076328e+00   7.762641e+00   1.365935e-01   
1.032467e-03   1.031478e+00   1.112954e+00   7.778839e+00   1.341118e-01   
1.051215e-03   1.062705e+00   1.149474e+00   7.795232e+00   1.314501e-01   
1.069963e-03   1.093656e+00   1.185845e+00   7.815209e+00   1.283542e-01   
1.088711e-03   1.124309e+00   1.222055e+00   7.830259e+00   1.255496e-01   
1.107459e-03   1.154640e+00   1.258064e+00   7.845091e+00   1.226591e-01   
1.126207e-03   1.184630e+00   1.293861e+00   7.854406e+00   1.201047e-01   
1.144956e-03   1.214259e+00   1.329394e+00   7.868087e+00   1.171373e-01   
1.163704e-03   1.243509e+00   1.364666e+00   7.876909e+00   1.144667e-01   
1.182452e-03   1.272363e+00   1.399620e+00   7.890111e+00   1.114281e-01   
1.201200e-03   1.300806e+00   1.434265e+00   7.897819e+00   1.087388e-01   
1.219948e-03   1.328824e+00   1.468562e+00   7.905343e+00   1.060258e-01   
1.238696e-03   1.356404e+00   1.502492e+00   7.912669e+00   1.033009e-01   
1.257444e-03   1.383535e+00   1.536051e+00   7.914766e+00   1.008933e-01   
1.276193e-03   1.410207e+00   1.569192e+00   7.920970e+00   9.820897e-02   
1.294941e-03   1.436410e+00   1.601918e+00   7.927568e+00   9.550089e-02   
1.313689e-03   1.462136e+00   1.634221e+00   7.928241e+00   9.314938e-02   
1.332437e-03   1.487379e+00   1.666069e+00   7.929114e+00   9.078440e-02   
1.351185e-03   1.512133e+00   1.697459e+00   7.929829e+00   8.843362e-02   
1.369933e-03   1.536394e+00   1.728359e+00   7.935028e+00   8.585134e-02   
1.388681e-03   1.560156e+00   1.758783e+00   7.935014e+00   8.357322e-02   
1.407429e-03   1.583419e+00   1.788734e+00   7.929528e+00   8.159501e-02   
1.426178e-03   1.606179e+00   1.818160e+00   7.928754e+00   7.939058e-02   
1.444926e-03   1.628435e+00   1.847073e+00   7.927972e+00   7.721247e-02   
1.463674e-03   1.650188e+00   1.875470e+00   7.927502e+00   7.504887e-02   
1.482422e-03   1.671438e+00   1.903367e+00   7.920773e+00   7.320682e-02   
1.501170e-03   1.692185e+00   1.930720e+00   7.914780e+00   7.135228e-02   
1.519918e-03   1.712432e+00   1.957528e+00   7.912879e+00   6.934378e-02   
1.538666e-03   1.732181e+00   1.983809e+00   7.906072e+00   6.758097e-02   
1.557415e-03   1.751435e+00   2.009554e+00   7.899330e+00   6.584301e-02   
1.576163e-03   1.770197e+00   2.034734e+00   7.897515e+00   6.393512e-02   
1.594911e-03   1.788471e+00   2.059392e+00   7.890079e+00   6.228989e-02   
1.613659e-03   1.806262e+00   2.083506e+00   7.882608e+00   6.067669e-02   
1.632407e-03   1.823725e+00   2.107282e+00   7.875075e+00   5.908131e-02   
1.651155e-03   1.840776e+00   2.130607e+00   7.867511e+00   5.751304e-02   
1.669903e-03   1.857360e+00   2.153409e+00   7.854299e+00   5.617938e-02   
1.688651e-03   1.873481e+00   2.175653e+00   7.846104e+00   5.469561e-02   
1.707400e-03   1.889147e+00   2.197361e+00   7.837978e+00   5.324314e-02   
1.726148e-03   1.904362e+00   2.218533e+00   7.830063e+00   5.181772e-02   
1.744896e-03   1.919133e+00   2.239204e+00   7.816402e+00   5.061214e-02   
1.763644e-03   1.933466e+00   2.259327e+00   7.807904e+00   4.926980e-02   
1.782392e-03   1.947368e+00   2.278955e+00   7.794571e+00   4.810966e-02   
1.801140e-03   1.960845e+00   2.298014e+00   7.785607e+00   4.684506e-02   
1.819888e-03   1.973905e+00   2.316608e+00   7.772182e+00   4.574388e-02   
1.838637e-03   1.986554e+00   2.334643e+00   7.763018e+00   4.454730e-02   
1.857385e-03   1.998799e+00   2.352219e+00   7.749253e+00   4.351118e-02   
1.876133e-03   2.010649e+00   2.369251e+00   7.740228e+00   4.237139e-02   
1.894881e-03   2.022109e+00   2.385830e+00   7.726000e+00   4.140176e-02   
1.913629e-03   2.033187e+00   2.401931e+00   7.712196e+00   4.044571e-02   
1.932377e-03   2.043892e+00   2.417490e+00   7.702772e+00   3.940287e-02   
1.951125e-03   2.054229e+00   2.432615e+00   7.688376e+00   3.851345e-02   
1.969874e-03   2.064207e+00   2.447266e+00   7.674242e+00   3.764113e-02   
1.988622e-03   2.073833e+00   2.461418e+00   7.665065e+00   3.667395e-02   
2.007370e-03   2.083115e+00   2.475163e+00   7.650346e+00   3.586429e-02   
2.026118e-03   2.092060e+00   2.488435e+00   7.635791e+00   3.507279e-02   
2.044866e-03   2.100675e+00   2.501282e+00   7.621357e+00   3.430029e-02   
2.063614e-03   2.108968e+00   2.513685e+00   7.607014e+00   3.354723e-02   
2.082362e-03   2.116945e+00   2.525612e+00   7.597557e+00   3.271032e-02   
2.101110e-03   2.124615e+00   2.537175e+00   7.582711e+00   3.201162e-02   
2.119859e-03   2.131985e+00   2.548298e+00   7.567938e+00   3.133106e-02   
2.138607e-03   2.139060e+00   2.559045e+00   7.553211e+00   3.066879e-02   
2.157355e-03   2.145850e+00   2.569359e+00   7.538521e+00   3.002465e-02   
2.176103e-03   2.152360e+00   2.579309e+00   7.523859e+00   2.939840e-02   
2.194851e-03   2.158597e+00   2.588853e+00   7.509220e+00   2.878973e-02   
2.213599e-03   2.164568e+00   2.598026e+00   7.494589e+00   2.819846e-02   
2.232347e-03   2.170280e+00   2.606781e+00   7.485024e+00   2.753143e-02   
2.251096e-03   2.175739e+00   2.615219e+00   7.470079e+00   2.698136e-02   
2.269844e-03   2.180952e+00   2.623308e+00   7.455154e+00   2.644688e-02   
