#rhoc           M              M_0            R              k_love         
7.046257e-04   1.000000e+00   1.062585e+00   9.083921e+00   1.435876e-01   
7.236791e-04   1.041579e+00   1.109797e+00   9.099840e+00   1.406069e-01   
7.427324e-04   1.082866e+00   1.156944e+00   9.114930e+00   1.374662e-01   
7.617857e-04   1.123802e+00   1.203952e+00   9.129148e+00   1.341991e-01   
7.808391e-04   1.164331e+00   1.250756e+00   9.142964e+00   1.307998e-01   
7.998924e-04   1.204402e+00   1.297303e+00   9.151613e+00   1.276284e-01   
8.189457e-04   1.240396e+00   1.339341e+00   9.159438e+00   1.246388e-01   
8.379991e-04   1.269938e+00   1.374003e+00   9.166022e+00   1.220535e-01   
8.570524e-04   1.298424e+00   1.407570e+00   9.172574e+00   1.194183e-01   
8.761057e-04   1.325892e+00   1.440078e+00   9.173216e+00   1.171117e-01   
8.951591e-04   1.352384e+00   1.471560e+00   9.173657e+00   1.147628e-01   
9.142124e-04   1.377940e+00   1.502048e+00   9.173575e+00   1.124010e-01   
9.332658e-04   1.402598e+00   1.531579e+00   9.173049e+00   1.100306e-01   
9.523191e-04   1.426394e+00   1.560190e+00   9.172501e+00   1.076358e-01   
9.713724e-04   1.449364e+00   1.587916e+00   9.165830e+00   1.055768e-01   
9.904258e-04   1.471539e+00   1.614782e+00   9.159434e+00   1.034809e-01   
1.009479e-03   1.492951e+00   1.640806e+00   9.157518e+00   1.011253e-01   
1.028532e-03   1.513628e+00   1.666040e+00   9.150089e+00   9.907310e-02   
1.047586e-03   1.533600e+00   1.690492e+00   9.142539e+00   9.702689e-02   
1.066639e-03   1.552891e+00   1.714206e+00   9.129676e+00   9.526244e-02   
1.085692e-03   1.571526e+00   1.737178e+00   9.121206e+00   9.327364e-02   
1.104746e-03   1.589531e+00   1.759446e+00   9.112828e+00   9.129369e-02   
1.123799e-03   1.606926e+00   1.781044e+00   9.099379e+00   8.958031e-02   
1.142852e-03   1.623734e+00   1.801964e+00   9.090356e+00   8.766531e-02   
1.161906e-03   1.639975e+00   1.822259e+00   9.076349e+00   8.600879e-02   
1.180959e-03   1.655669e+00   1.841914e+00   9.067503e+00   8.412951e-02   
1.200012e-03   1.670834e+00   1.860977e+00   9.052782e+00   8.254573e-02   
1.219066e-03   1.685489e+00   1.879456e+00   9.038165e+00   8.097720e-02   
1.238119e-03   1.699650e+00   1.897366e+00   9.023518e+00   7.943193e-02   
1.257172e-03   1.713335e+00   1.914722e+00   9.008722e+00   7.791649e-02   
1.276226e-03   1.726558e+00   1.931542e+00   8.993814e+00   7.643025e-02   
1.295279e-03   1.739335e+00   1.947841e+00   8.978755e+00   7.497552e-02   
1.314332e-03   1.751680e+00   1.963636e+00   8.963576e+00   7.355166e-02   
1.333386e-03   1.763608e+00   1.978931e+00   8.948305e+00   7.215780e-02   
1.352439e-03   1.775131e+00   1.993751e+00   8.932998e+00   7.079217e-02   
1.371492e-03   1.786263e+00   2.008110e+00   8.917719e+00   6.945251e-02   
1.390546e-03   1.797016e+00   2.022009e+00   8.902519e+00   6.813714e-02   
1.409599e-03   1.807402e+00   2.035489e+00   8.881700e+00   6.706080e-02   
1.428652e-03   1.817433e+00   2.048524e+00   8.865911e+00   6.581898e-02   
1.447706e-03   1.827119e+00   2.061142e+00   8.850322e+00   6.459680e-02   
1.466759e-03   1.836471e+00   2.073362e+00   8.835009e+00   6.339176e-02   
1.485813e-03   1.845500e+00   2.085197e+00   8.813815e+00   6.242152e-02   
1.504866e-03   1.854216e+00   2.096631e+00   8.797971e+00   6.128590e-02   
1.523919e-03   1.862627e+00   2.107699e+00   8.782528e+00   6.016267e-02   
1.542973e-03   1.870744e+00   2.118419e+00   8.761281e+00   5.926139e-02   
1.562026e-03   1.878576e+00   2.128768e+00   8.745380e+00   5.820265e-02   
1.581079e-03   1.886130e+00   2.138795e+00   8.724783e+00   5.732271e-02   
1.600133e-03   1.893415e+00   2.148460e+00   8.708446e+00   5.632564e-02   
1.619186e-03   1.900439e+00   2.157803e+00   8.692672e+00   5.533499e-02   
1.638239e-03   1.906899e+00   2.166438e+00   8.672077e+00   5.458649e-02   
1.657293e-03   1.913117e+00   2.174746e+00   8.656079e+00   5.371504e-02   
1.676346e-03   1.919097e+00   2.182756e+00   8.640406e+00   5.285610e-02   
1.695399e-03   1.924846e+00   2.190468e+00   8.625044e+00   5.200968e-02   
1.714453e-03   1.930371e+00   2.197915e+00   8.604066e+00   5.135175e-02   
1.733506e-03   1.935678e+00   2.205057e+00   8.588223e+00   5.055975e-02   
1.752559e-03   1.940774e+00   2.211932e+00   8.572690e+00   4.977873e-02   
1.771613e-03   1.945666e+00   2.218567e+00   8.552143e+00   4.916090e-02   
1.790666e-03   1.950359e+00   2.224920e+00   8.536149e+00   4.842997e-02   
