#rhoc           M              M_0            R              k_love         
8.812302e-04   1.000000e+00   1.084446e+00   8.665125e+00   1.269501e-01   
9.031370e-04   1.030990e+00   1.120520e+00   8.665472e+00   1.246895e-01   
9.250438e-04   1.061453e+00   1.156147e+00   8.665005e+00   1.223644e-01   
9.469505e-04   1.091375e+00   1.191293e+00   8.663918e+00   1.199789e-01   
9.688573e-04   1.120741e+00   1.225946e+00   8.662540e+00   1.175273e-01   
9.907641e-04   1.149543e+00   1.260112e+00   8.657721e+00   1.152351e-01   
1.012671e-03   1.177772e+00   1.293719e+00   8.655111e+00   1.127363e-01   
1.034578e-03   1.205421e+00   1.326815e+00   8.649000e+00   1.104179e-01   
1.056484e-03   1.232487e+00   1.359354e+00   8.642670e+00   1.080739e-01   
1.078391e-03   1.258964e+00   1.391323e+00   8.635871e+00   1.057302e-01   
1.100298e-03   1.284851e+00   1.422723e+00   8.628468e+00   1.034036e-01   
1.122205e-03   1.310148e+00   1.453538e+00   8.620490e+00   1.010996e-01   
1.144111e-03   1.334854e+00   1.483758e+00   8.612078e+00   9.881599e-02   
1.166018e-03   1.358972e+00   1.513382e+00   8.603433e+00   9.654733e-02   
1.187925e-03   1.382504e+00   1.542438e+00   8.591953e+00   9.444198e-02   
1.209832e-03   1.405454e+00   1.570875e+00   8.582030e+00   9.226054e-02   
1.231738e-03   1.427825e+00   1.598697e+00   8.572661e+00   9.006584e-02   
1.253645e-03   1.449625e+00   1.625972e+00   8.559286e+00   8.809874e-02   
1.275552e-03   1.470857e+00   1.652624e+00   8.546275e+00   8.613000e-02   
1.297459e-03   1.491529e+00   1.678656e+00   8.535548e+00   8.407035e-02   
1.319366e-03   1.511648e+00   1.704122e+00   8.521475e+00   8.220096e-02   
1.341272e-03   1.531221e+00   1.728999e+00   8.507363e+00   8.035820e-02   
1.363179e-03   1.550256e+00   1.753286e+00   8.493097e+00   7.854961e-02   
1.385086e-03   1.568762e+00   1.776988e+00   8.478603e+00   7.678018e-02   
1.406993e-03   1.586746e+00   1.800111e+00   8.463850e+00   7.505230e-02   
1.428899e-03   1.604218e+00   1.822664e+00   8.448839e+00   7.336662e-02   
1.450806e-03   1.621186e+00   1.844653e+00   8.433585e+00   7.172301e-02   
1.472713e-03   1.637660e+00   1.866084e+00   8.418133e+00   7.011983e-02   
1.494620e-03   1.653649e+00   1.886949e+00   8.402528e+00   6.855554e-02   
1.516526e-03   1.669162e+00   1.907266e+00   8.386830e+00   6.702790e-02   
1.538433e-03   1.684209e+00   1.927053e+00   8.371121e+00   6.553389e-02   
1.560340e-03   1.698799e+00   1.946289e+00   8.355473e+00   6.407100e-02   
1.582247e-03   1.712941e+00   1.965062e+00   8.336258e+00   6.277573e-02   
1.604153e-03   1.726647e+00   1.983280e+00   8.319884e+00   6.140447e-02   
1.626060e-03   1.739923e+00   2.000969e+00   8.303705e+00   6.005877e-02   
1.647967e-03   1.752781e+00   2.018172e+00   8.287814e+00   5.873560e-02   
1.669874e-03   1.765230e+00   2.034934e+00   8.267873e+00   5.758613e-02   
1.691781e-03   1.777278e+00   2.051146e+00   8.251378e+00   5.634652e-02   
1.713687e-03   1.788935e+00   2.066886e+00   8.235320e+00   5.512376e-02   
1.735594e-03   1.800211e+00   2.082224e+00   8.215096e+00   5.406952e-02   
1.757501e-03   1.811114e+00   2.097053e+00   8.198557e+00   5.292268e-02   
1.779408e-03   1.821654e+00   2.111418e+00   8.182582e+00   5.178819e-02   
1.801314e-03   1.831838e+00   2.125412e+00   8.161884e+00   5.083086e-02   
1.823221e-03   1.841677e+00   2.138897e+00   8.145511e+00   4.976601e-02   
1.845128e-03   1.851178e+00   2.152040e+00   8.125234e+00   4.884704e-02   
1.867035e-03   1.860350e+00   2.164687e+00   8.108511e+00   4.784757e-02   
1.888941e-03   1.869201e+00   2.176932e+00   8.092527e+00   4.685398e-02   
1.910848e-03   1.877739e+00   2.188852e+00   8.071566e+00   4.602955e-02   
1.932755e-03   1.885972e+00   2.200303e+00   8.055293e+00   4.509594e-02   
1.954662e-03   1.893909e+00   2.211456e+00   8.034660e+00   4.430836e-02   
1.976569e-03   1.901557e+00   2.222151e+00   8.018138e+00   4.343088e-02   
1.998475e-03   1.908923e+00   2.232554e+00   7.997814e+00   4.267917e-02   
2.020382e-03   1.916015e+00   2.242533e+00   7.981065e+00   4.185457e-02   
2.042289e-03   1.922840e+00   2.252158e+00   7.965068e+00   4.103375e-02   
2.064196e-03   1.929405e+00   2.261498e+00   7.944100e+00   4.036225e-02   
2.086102e-03   1.935717e+00   2.270443e+00   7.927849e+00   3.959163e-02   
2.108009e-03   1.941783e+00   2.279143e+00   7.907274e+00   3.894914e-02   
2.129916e-03   1.947610e+00   2.287440e+00   7.890776e+00   3.822599e-02   
2.151823e-03   1.953203e+00   2.295515e+00   7.870757e+00   3.760725e-02   
2.173729e-03   1.958570e+00   2.303196e+00   7.853895e+00   3.693196e-02   
2.195636e-03   1.963716e+00   2.310579e+00   7.837798e+00   3.625812e-02   
2.217543e-03   1.968648e+00   2.317750e+00   7.817262e+00   3.570466e-02   
2.239450e-03   1.973371e+00   2.324553e+00   7.800868e+00   3.507389e-02   
2.261356e-03   1.977891e+00   2.331079e+00   7.785066e+00   3.444799e-02   
2.283263e-03   1.982214e+00   2.337413e+00   7.764260e+00   3.394913e-02   
2.305170e-03   1.986345e+00   2.343404e+00   7.748105e+00   3.336443e-02   
2.327077e-03   1.990290e+00   2.349233e+00   7.728160e+00   3.287678e-02   
2.348984e-03   1.994053e+00   2.354717e+00   7.711592e+00   3.233254e-02   
2.370890e-03   1.997640e+00   2.359953e+00   7.695565e+00   3.179255e-02   
2.392797e-03   2.001056e+00   2.364959e+00   7.680008e+00   3.125837e-02   
2.414704e-03   2.004305e+00   2.369809e+00   7.659232e+00   3.084425e-02   
2.436611e-03   2.007393e+00   2.374341e+00   7.643255e+00   3.034692e-02   
2.458517e-03   2.010323e+00   2.378652e+00   7.627647e+00   2.985646e-02   
2.480424e-03   2.013101e+00   2.382824e+00   7.607365e+00   2.947024e-02   
2.502331e-03   2.015730e+00   2.386708e+00   7.591272e+00   2.901530e-02   
2.524238e-03   2.018215e+00   2.390384e+00   7.575518e+00   2.856683e-02   
2.546144e-03   2.020560e+00   2.393867e+00   7.560082e+00   2.812514e-02   
2.568051e-03   2.022769e+00   2.397240e+00   7.539831e+00   2.778438e-02   
2.589958e-03   2.024845e+00   2.400328e+00   7.523884e+00   2.737544e-02   
2.611865e-03   2.026793e+00   2.403232e+00   7.508248e+00   2.697244e-02   
2.633771e-03   2.028616e+00   2.405957e+00   7.492793e+00   2.657757e-02   
2.655678e-03   2.030318e+00   2.408511e+00   7.477526e+00   2.619049e-02   
2.677585e-03   2.031903e+00   2.410981e+00   7.457340e+00   2.589946e-02   
2.699492e-03   2.033373e+00   2.413186e+00   7.441657e+00   2.553992e-02   
2.721399e-03   2.034732e+00   2.415228e+00   7.426119e+00   2.518800e-02   
2.743305e-03   2.035984e+00   2.417112e+00   7.410716e+00   2.484367e-02   
2.765212e-03   2.037130e+00   2.418843e+00   7.395425e+00   2.450710e-02   
2.787119e-03   2.038176e+00   2.420426e+00   7.380216e+00   2.417857e-02   
2.809026e-03   2.039122e+00   2.421864e+00   7.365078e+00   2.385804e-02   
2.830932e-03   2.039973e+00   2.423249e+00   7.345413e+00   2.361897e-02   
2.852839e-03   2.040731e+00   2.424402e+00   7.330064e+00   2.331862e-02   
2.874746e-03   2.041399e+00   2.425420e+00   7.314786e+00   2.302550e-02   
2.896653e-03   2.041979e+00   2.426308e+00   7.299575e+00   2.273949e-02   
2.918559e-03   2.042474e+00   2.427069e+00   7.284430e+00   2.246039e-02   
2.940466e-03   2.042887e+00   2.427707e+00   7.269341e+00   2.218819e-02   
2.962373e-03   2.043219e+00   2.428232e+00   7.254297e+00   2.192283e-02   
2.984280e-03   2.043474e+00   2.428628e+00   7.239312e+00   2.166397e-02   
3.006186e-03   2.043654e+00   2.428900e+00   7.224360e+00   2.141175e-02   
3.028093e-03   2.043761e+00   2.429064e+00   7.209471e+00   2.116559e-02   
3.050000e-03   2.043796e+00   2.429123e+00   7.194642e+00   2.092536e-02   
