#rhoc           M              M_0            R              k_love         
9.163441e-04   1.000000e+00   1.073943e+00   7.981258e+00   1.404122e-01   
9.314072e-04   1.034634e+00   1.114051e+00   8.004852e+00   1.378432e-01   
9.464703e-04   1.069307e+00   1.154409e+00   8.032565e+00   1.347689e-01   
9.615334e-04   1.103975e+00   1.194988e+00   8.055121e+00   1.319921e-01   
9.765964e-04   1.138597e+00   1.235730e+00   8.077533e+00   1.290991e-01   
9.916595e-04   1.173133e+00   1.276604e+00   8.094491e+00   1.265201e-01   
1.006723e-03   1.207544e+00   1.317536e+00   8.115840e+00   1.234916e-01   
1.021786e-03   1.241791e+00   1.358505e+00   8.137516e+00   1.203566e-01   
1.036849e-03   1.275841e+00   1.399466e+00   8.153120e+00   1.175929e-01   
1.051912e-03   1.309657e+00   1.440375e+00   8.168830e+00   1.147470e-01   
1.066975e-03   1.343209e+00   1.481191e+00   8.184245e+00   1.118610e-01   
1.082038e-03   1.376464e+00   1.521874e+00   8.199177e+00   1.089590e-01   
1.097101e-03   1.409395e+00   1.562383e+00   8.213663e+00   1.060485e-01   
1.112164e-03   1.441973e+00   1.602680e+00   8.227945e+00   1.031237e-01   
1.127227e-03   1.474173e+00   1.642758e+00   8.237253e+00   1.004846e-01   
1.142290e-03   1.505972e+00   1.682529e+00   8.250516e+00   9.758774e-02   
1.157353e-03   1.537346e+00   1.722015e+00   8.258901e+00   9.497006e-02   
1.172416e-03   1.568276e+00   1.761163e+00   8.267138e+00   9.235237e-02   
1.187480e-03   1.598743e+00   1.799941e+00   8.274948e+00   8.975746e-02   
1.202543e-03   1.628729e+00   1.838315e+00   8.282237e+00   8.719593e-02   
1.217606e-03   1.658220e+00   1.876274e+00   8.289080e+00   8.466858e-02   
1.232669e-03   1.687200e+00   1.913782e+00   8.295723e+00   8.216778e-02   
1.247732e-03   1.715658e+00   1.950818e+00   8.302568e+00   7.967913e-02   
1.262795e-03   1.743582e+00   1.987382e+00   8.303455e+00   7.749531e-02   
1.277858e-03   1.770963e+00   2.023433e+00   8.304794e+00   7.530697e-02   
1.292921e-03   1.797793e+00   2.058937e+00   8.310233e+00   7.296058e-02   
1.307984e-03   1.824065e+00   2.093906e+00   8.310534e+00   7.086936e-02   
1.323047e-03   1.849773e+00   2.128318e+00   8.310696e+00   6.881071e-02   
1.338110e-03   1.874913e+00   2.162153e+00   8.310636e+00   6.679080e-02   
1.353173e-03   1.899481e+00   2.195397e+00   8.310397e+00   6.481002e-02   
1.368237e-03   1.923475e+00   2.228040e+00   8.310105e+00   6.286553e-02   
1.383300e-03   1.946894e+00   2.260109e+00   8.304267e+00   6.116080e-02   
1.398363e-03   1.969739e+00   2.291507e+00   8.303119e+00   5.931541e-02   
1.413426e-03   1.992008e+00   2.322295e+00   8.302507e+00   5.748953e-02   
1.428489e-03   2.013705e+00   2.352461e+00   8.295603e+00   5.591551e-02   
1.443552e-03   2.034831e+00   2.381997e+00   8.289227e+00   5.435351e-02   
1.458615e-03   2.055389e+00   2.410860e+00   8.287608e+00   5.267231e-02   
1.473678e-03   2.075384e+00   2.439099e+00   8.280450e+00   5.120299e-02   
1.488741e-03   2.094819e+00   2.466687e+00   8.273328e+00   4.976455e-02   
1.503804e-03   2.113700e+00   2.493623e+00   8.266110e+00   4.836162e-02   
1.518867e-03   2.132032e+00   2.519913e+00   8.258738e+00   4.699611e-02   
1.533930e-03   2.149821e+00   2.545552e+00   8.251177e+00   4.566903e-02   
1.548993e-03   2.167074e+00   2.570522e+00   8.243458e+00   4.437929e-02   
1.564057e-03   2.183797e+00   2.594864e+00   8.235630e+00   4.312534e-02   
1.579120e-03   2.199999e+00   2.618536e+00   8.227784e+00   4.190468e-02   
1.594183e-03   2.215685e+00   2.641592e+00   8.220037e+00   4.071418e-02   
1.609246e-03   2.230865e+00   2.664029e+00   8.206479e+00   3.969610e-02   
1.624309e-03   2.244584e+00   2.684349e+00   8.198282e+00   3.866379e-02   
1.639372e-03   2.256035e+00   2.701402e+00   8.190550e+00   3.781140e-02   
1.654435e-03   2.267069e+00   2.717889e+00   8.182816e+00   3.698333e-02   
1.669498e-03   2.277692e+00   2.733808e+00   8.175116e+00   3.617751e-02   
1.684561e-03   2.287911e+00   2.749188e+00   8.167502e+00   3.539193e-02   
1.699624e-03   2.297738e+00   2.764062e+00   8.153938e+00   3.475385e-02   
1.714687e-03   2.307180e+00   2.778369e+00   8.145749e+00   3.401979e-02   
1.729750e-03   2.316250e+00   2.792158e+00   8.137743e+00   3.330150e-02   
1.744813e-03   2.324955e+00   2.805429e+00   8.130003e+00   3.259692e-02   
1.759877e-03   2.333307e+00   2.818248e+00   8.116111e+00   3.203182e-02   
1.774940e-03   2.341316e+00   2.830525e+00   8.107838e+00   3.137218e-02   
1.790003e-03   2.348992e+00   2.842339e+00   8.100001e+00   3.072154e-02   
1.805066e-03   2.356344e+00   2.853722e+00   8.085899e+00   3.020448e-02   
1.820129e-03   2.363381e+00   2.864610e+00   8.077646e+00   2.959324e-02   
1.835192e-03   2.370113e+00   2.875095e+00   8.063939e+00   2.909567e-02   
1.850255e-03   2.376550e+00   2.885104e+00   8.055341e+00   2.852040e-02   
1.865318e-03   2.382699e+00   2.894759e+00   8.041822e+00   2.804520e-02   
1.880381e-03   2.388569e+00   2.903936e+00   8.032972e+00   2.750235e-02   
1.895444e-03   2.394169e+00   2.912773e+00   8.019481e+00   2.705120e-02   
1.910507e-03   2.399508e+00   2.921154e+00   8.010495e+00   2.653711e-02   
1.925570e-03   2.404592e+00   2.929225e+00   7.996923e+00   2.611056e-02   
1.940634e-03   2.409429e+00   2.936863e+00   7.987918e+00   2.562189e-02   
1.955697e-03   2.414028e+00   2.944196e+00   7.974178e+00   2.522008e-02   
1.970760e-03   2.418394e+00   2.951114e+00   7.965274e+00   2.475365e-02   
1.985823e-03   2.422537e+00   2.957772e+00   7.951299e+00   2.437634e-02   
2.000886e-03   2.426461e+00   2.964022e+00   7.942618e+00   2.392917e-02   
2.015949e-03   2.430174e+00   2.969990e+00   7.928383e+00   2.357554e-02   
2.031012e-03   2.433682e+00   2.975618e+00   7.920010e+00   2.314542e-02   
2.046075e-03   2.436992e+00   2.980963e+00   7.905473e+00   2.281489e-02   
2.061138e-03   2.440110e+00   2.986036e+00   7.891571e+00   2.248353e-02   
2.076201e-03   2.443041e+00   2.990753e+00   7.882662e+00   2.209105e-02   
2.091264e-03   2.445791e+00   2.995222e+00   7.868409e+00   2.178199e-02   
2.106327e-03   2.448366e+00   2.999398e+00   7.860006e+00   2.140142e-02   
2.121390e-03   2.450771e+00   3.003318e+00   7.845393e+00   2.111373e-02   
2.136454e-03   2.453012e+00   3.007025e+00   7.831346e+00   2.082569e-02   
2.151517e-03   2.455093e+00   3.010380e+00   7.822579e+00   2.047631e-02   
2.166580e-03   2.457020e+00   3.013561e+00   7.808152e+00   2.020853e-02   
2.181643e-03   2.458797e+00   3.016503e+00   7.794268e+00   1.994058e-02   
