#rhoc           M              M_0            R              k_love         
5.744235e-04   1.000000e+00   1.060405e+00   9.505542e+00   1.580734e-01   
5.871163e-04   1.042919e+00   1.108823e+00   9.541410e+00   1.552719e-01   
5.998090e-04   1.085937e+00   1.157609e+00   9.577519e+00   1.521820e-01   
6.125018e-04   1.128991e+00   1.206697e+00   9.607916e+00   1.492987e-01   
6.251946e-04   1.172019e+00   1.256022e+00   9.637958e+00   1.462151e-01   
6.378873e-04   1.214963e+00   1.305513e+00   9.667606e+00   1.429613e-01   
6.505801e-04   1.257766e+00   1.355118e+00   9.691634e+00   1.399398e-01   
6.632729e-04   1.300373e+00   1.404759e+00   9.720073e+00   1.364419e-01   
6.759657e-04   1.342734e+00   1.454388e+00   9.742834e+00   1.332070e-01   
6.886584e-04   1.384800e+00   1.503945e+00   9.765250e+00   1.298731e-01   
7.013512e-04   1.426523e+00   1.553382e+00   9.782523e+00   1.267711e-01   
7.140440e-04   1.467861e+00   1.602620e+00   9.803309e+00   1.233505e-01   
7.267368e-04   1.508772e+00   1.651635e+00   9.819355e+00   1.201539e-01   
7.394295e-04   1.549220e+00   1.700366e+00   9.834829e+00   1.169278e-01   
7.521223e-04   1.589167e+00   1.748757e+00   9.849471e+00   1.137013e-01   
7.648151e-04   1.628583e+00   1.796773e+00   9.863501e+00   1.104739e-01   
7.775078e-04   1.667436e+00   1.844368e+00   9.877570e+00   1.072218e-01   
7.902006e-04   1.705699e+00   1.891515e+00   9.885660e+00   1.042756e-01   
8.028934e-04   1.743348e+00   1.938166e+00   9.893594e+00   1.013217e-01   
8.155862e-04   1.779647e+00   1.983388e+00   9.900992e+00   9.843948e-02   
8.282789e-04   1.813757e+00   2.026108e+00   9.907923e+00   9.569090e-02   
8.409717e-04   1.847127e+00   2.068135e+00   9.909809e+00   9.319276e-02   
8.536645e-04   1.879753e+00   2.109420e+00   9.915526e+00   9.052635e-02   
8.663573e-04   1.911634e+00   2.149984e+00   9.916317e+00   8.810031e-02   
8.790500e-04   1.942768e+00   2.189801e+00   9.916838e+00   8.570128e-02   
8.917428e-04   1.973158e+00   2.228859e+00   9.916850e+00   8.334367e-02   
9.044356e-04   2.002805e+00   2.267152e+00   9.916367e+00   8.103002e-02   
9.171284e-04   2.031715e+00   2.304678e+00   9.915622e+00   7.875387e-02   
9.298211e-04   2.059891e+00   2.341432e+00   9.915033e+00   7.650209e-02   
9.425139e-04   2.087339e+00   2.377434e+00   9.908352e+00   7.451293e-02   
9.552067e-04   2.114066e+00   2.412649e+00   9.902096e+00   7.253307e-02   
9.678994e-04   2.140077e+00   2.447075e+00   9.900144e+00   7.042902e-02   
9.805922e-04   2.165380e+00   2.480736e+00   9.892872e+00   6.854831e-02   
9.932850e-04   2.189984e+00   2.513622e+00   9.885468e+00   6.670352e-02   
1.005978e-03   2.213898e+00   2.545735e+00   9.877875e+00   6.489818e-02   
1.018671e-03   2.237129e+00   2.577077e+00   9.870166e+00   6.313108e-02   
1.031363e-03   2.259688e+00   2.607668e+00   9.857288e+00   6.156034e-02   
1.044056e-03   2.281585e+00   2.637482e+00   9.848655e+00   5.988947e-02   
1.056749e-03   2.302830e+00   2.666522e+00   9.840265e+00   5.824772e-02   
1.069442e-03   2.323432e+00   2.694845e+00   9.826630e+00   5.679424e-02   
1.082134e-03   2.343404e+00   2.722394e+00   9.817759e+00   5.523727e-02   
1.094827e-03   2.362756e+00   2.749227e+00   9.803648e+00   5.386117e-02   
1.107520e-03   2.381498e+00   2.775331e+00   9.789860e+00   5.250705e-02   
1.120213e-03   2.399643e+00   2.800672e+00   9.780246e+00   5.107556e-02   
1.132905e-03   2.417202e+00   2.825332e+00   9.765634e+00   4.980787e-02   
1.145598e-03   2.434185e+00   2.849285e+00   9.751033e+00   4.857044e-02   
1.158291e-03   2.450606e+00   2.872528e+00   9.736351e+00   4.736549e-02   
1.170984e-03   2.466474e+00   2.895089e+00   9.721532e+00   4.619420e-02   
1.183677e-03   2.481802e+00   2.916970e+00   9.706567e+00   4.505630e-02   
1.196369e-03   2.496602e+00   2.938170e+00   9.691440e+00   4.395173e-02   
1.209062e-03   2.510884e+00   2.958722e+00   9.676196e+00   4.287895e-02   
1.221755e-03   2.524660e+00   2.978606e+00   9.660871e+00   4.183665e-02   
1.234448e-03   2.537942e+00   2.997861e+00   9.645521e+00   4.082315e-02   
1.247140e-03   2.550741e+00   3.016482e+00   9.630212e+00   3.983659e-02   
1.259833e-03   2.563069e+00   3.034480e+00   9.615019e+00   3.887508e-02   
1.272526e-03   2.574936e+00   3.051901e+00   9.594015e+00   3.805522e-02   
1.285219e-03   2.586353e+00   3.068695e+00   9.578225e+00   3.715633e-02   
1.297912e-03   2.597332e+00   3.084905e+00   9.562686e+00   3.627816e-02   
1.310604e-03   2.607883e+00   3.100566e+00   9.541953e+00   3.552129e-02   
1.323297e-03   2.618017e+00   3.115619e+00   9.525855e+00   3.470110e-02   
1.335990e-03   2.627745e+00   3.130118e+00   9.510170e+00   3.389727e-02   
1.348683e-03   2.637076e+00   3.144120e+00   9.489174e+00   3.320923e-02   
1.361375e-03   2.646020e+00   3.157536e+00   9.473048e+00   3.245742e-02   
1.374068e-03   2.654589e+00   3.170440e+00   9.457521e+00   3.171754e-02   
1.386761e-03   2.662791e+00   3.182869e+00   9.435962e+00   3.109848e-02   
1.399454e-03   2.670637e+00   3.194754e+00   9.420133e+00   3.040477e-02   
1.412146e-03   2.678136e+00   3.206188e+00   9.398834e+00   2.981788e-02   
1.424839e-03   2.685297e+00   3.217100e+00   9.382764e+00   2.916695e-02   
1.437532e-03   2.692129e+00   3.227577e+00   9.361625e+00   2.861228e-02   
1.450225e-03   2.698641e+00   3.237557e+00   9.345378e+00   2.800081e-02   
1.462918e-03   2.704842e+00   3.247140e+00   9.324335e+00   2.747768e-02   
1.475610e-03   2.710742e+00   3.256230e+00   9.307963e+00   2.690274e-02   
1.488303e-03   2.716347e+00   3.264942e+00   9.286982e+00   2.640998e-02   
1.500996e-03   2.721666e+00   3.273182e+00   9.270525e+00   2.586898e-02   
1.513689e-03   2.726708e+00   3.281058e+00   9.249585e+00   2.540520e-02   
1.526381e-03   2.731480e+00   3.288488e+00   9.233081e+00   2.489570e-02   
1.539074e-03   2.735989e+00   3.295592e+00   9.212182e+00   2.445930e-02   
1.551767e-03   2.740245e+00   3.302248e+00   9.195624e+00   2.397960e-02   
1.564460e-03   2.744253e+00   3.308538e+00   9.180006e+00   2.350221e-02   
1.577153e-03   2.748021e+00   3.314500e+00   9.158190e+00   2.311696e-02   
1.589845e-03   2.751555e+00   3.320082e+00   9.142519e+00   2.266721e-02   
1.602538e-03   2.754864e+00   3.325358e+00   9.120780e+00   2.230469e-02   
1.615231e-03   2.757953e+00   3.330246e+00   9.105044e+00   2.188113e-02   
1.627924e-03   2.759721e+00   3.333083e+00   9.090846e+00   2.168527e-02   
1.640616e-03   2.760907e+00   3.334970e+00   9.083191e+00   2.152126e-02   
1.653309e-03   2.762013e+00   3.336734e+00   9.075594e+00   2.136246e-02   
1.666002e-03   2.763038e+00   3.338369e+00   9.068021e+00   2.120896e-02   
1.678695e-03   2.763980e+00   3.339876e+00   9.060475e+00   2.106044e-02   
1.691387e-03   2.764841e+00   3.341254e+00   9.052951e+00   2.091667e-02   
1.704080e-03   2.765620e+00   3.342505e+00   9.045445e+00   2.077749e-02   
1.716773e-03   2.766320e+00   3.343630e+00   9.037959e+00   2.064262e-02   
1.729466e-03   2.766941e+00   3.344632e+00   9.030486e+00   2.051195e-02   
1.742159e-03   2.767486e+00   3.345514e+00   9.023026e+00   2.038530e-02   
1.754851e-03   2.767955e+00   3.346275e+00   9.015586e+00   2.026239e-02   
1.767544e-03   2.768352e+00   3.346909e+00   9.008166e+00   2.014308e-02   
1.780237e-03   2.768676e+00   3.347430e+00   9.000769e+00   2.002717e-02   
1.792930e-03   2.768932e+00   3.347840e+00   8.993393e+00   1.991454e-02   
1.805622e-03   2.769119e+00   3.348144e+00   8.986050e+00   1.980494e-02   
1.818315e-03   2.769241e+00   3.348344e+00   8.978729e+00   1.969834e-02   
1.831008e-03   2.769299e+00   3.348443e+00   8.971443e+00   1.959450e-02   
