#rhoc           M              M_0            R              k_love         
6.057184e-04   1.000000e+00   1.063047e+00   9.210183e+00   1.589570e-01   
6.184006e-04   1.045611e+00   1.114747e+00   9.249616e+00   1.563225e-01   
6.310827e-04   1.091457e+00   1.166998e+00   9.292852e+00   1.530518e-01   
6.437648e-04   1.137462e+00   1.219744e+00   9.330901e+00   1.499252e-01   
6.564469e-04   1.183551e+00   1.272894e+00   9.368398e+00   1.465832e-01   
6.691291e-04   1.229652e+00   1.326373e+00   9.405349e+00   1.430558e-01   
6.818112e-04   1.275696e+00   1.380112e+00   9.436944e+00   1.397279e-01   
6.944933e-04   1.321615e+00   1.434018e+00   9.472592e+00   1.359218e-01   
7.071754e-04   1.367345e+00   1.488039e+00   9.502681e+00   1.323626e-01   
7.198575e-04   1.412822e+00   1.542092e+00   9.527739e+00   1.290082e-01   
7.325397e-04   1.457989e+00   1.596096e+00   9.556120e+00   1.253073e-01   
7.452218e-04   1.502788e+00   1.650003e+00   9.579938e+00   1.218063e-01   
7.579039e-04   1.547168e+00   1.703723e+00   9.607544e+00   1.179883e-01   
7.705860e-04   1.591078e+00   1.757229e+00   9.624948e+00   1.147295e-01   
7.832681e-04   1.634472e+00   1.810414e+00   9.646159e+00   1.111853e-01   
7.959503e-04   1.677306e+00   1.863245e+00   9.667537e+00   1.075993e-01   
8.086324e-04   1.719542e+00   1.915672e+00   9.682823e+00   1.043265e-01   
8.213145e-04   1.756914e+00   1.962335e+00   9.697562e+00   1.013149e-01   
8.339966e-04   1.792251e+00   2.006711e+00   9.706196e+00   9.868935e-02   
8.466787e-04   1.826748e+00   2.050250e+00   9.720002e+00   9.580106e-02   
8.593609e-04   1.860408e+00   2.092966e+00   9.727677e+00   9.321975e-02   
8.720430e-04   1.893236e+00   2.134850e+00   9.735174e+00   9.065009e-02   
8.847251e-04   1.925238e+00   2.175886e+00   9.742505e+00   8.809783e-02   
8.974072e-04   1.956423e+00   2.216098e+00   9.743728e+00   8.582995e-02   
9.100893e-04   1.986798e+00   2.255447e+00   9.750130e+00   8.334800e-02   
9.227715e-04   2.016373e+00   2.293973e+00   9.750727e+00   8.113244e-02   
9.354536e-04   2.045157e+00   2.331650e+00   9.751237e+00   7.893734e-02   
9.481357e-04   2.073160e+00   2.368485e+00   9.751362e+00   7.677898e-02   
9.608178e-04   2.100393e+00   2.404483e+00   9.751054e+00   7.466223e-02   
9.734999e-04   2.126867e+00   2.439645e+00   9.750485e+00   7.258311e-02   
9.861821e-04   2.152592e+00   2.473981e+00   9.750019e+00   7.053095e-02   
9.988642e-04   2.177581e+00   2.507506e+00   9.743381e+00   6.872958e-02   
1.011546e-03   2.201845e+00   2.540221e+00   9.737307e+00   6.693344e-02   
1.024228e-03   2.225397e+00   2.572084e+00   9.735274e+00   6.503070e-02   
1.036911e-03   2.248248e+00   2.603171e+00   9.728155e+00   6.333029e-02   
1.049593e-03   2.270411e+00   2.633459e+00   9.720901e+00   6.166419e-02   
1.062275e-03   2.291899e+00   2.662957e+00   9.713414e+00   6.003666e-02   
1.074957e-03   2.312723e+00   2.691675e+00   9.705698e+00   5.844830e-02   
1.087639e-03   2.332897e+00   2.719601e+00   9.697854e+00   5.689657e-02   
1.100321e-03   2.352434e+00   2.746775e+00   9.690049e+00   5.537724e-02   
1.113003e-03   2.371347e+00   2.773211e+00   9.676435e+00   5.405364e-02   
1.125685e-03   2.389647e+00   2.798882e+00   9.667900e+00   5.261893e-02   
1.138368e-03   2.407348e+00   2.823842e+00   9.654424e+00   5.134895e-02   
1.151050e-03   2.424463e+00   2.848033e+00   9.645404e+00   4.999169e-02   
1.163732e-03   2.441004e+00   2.871550e+00   9.631462e+00   4.879211e-02   
1.176414e-03   2.456985e+00   2.894322e+00   9.622575e+00   4.749580e-02   
1.189096e-03   2.472417e+00   2.916436e+00   9.607992e+00   4.637008e-02   
1.201778e-03   2.487313e+00   2.937868e+00   9.593593e+00   4.526701e-02   
1.214460e-03   2.501686e+00   2.958615e+00   9.579230e+00   4.419023e-02   
1.227142e-03   2.515547e+00   2.978675e+00   9.570007e+00   4.302524e-02   
1.239824e-03   2.528909e+00   2.998122e+00   9.555059e+00   4.201783e-02   
1.252507e-03   2.541784e+00   3.016917e+00   9.540116e+00   4.103624e-02   
1.265189e-03   2.554184e+00   3.035093e+00   9.525141e+00   4.008096e-02   
1.277871e-03   2.566120e+00   3.052648e+00   9.510130e+00   3.915173e-02   
1.290553e-03   2.577604e+00   3.069607e+00   9.495087e+00   3.824801e-02   
1.303235e-03   2.588647e+00   3.085958e+00   9.480033e+00   3.736899e-02   
1.315917e-03   2.599261e+00   3.101773e+00   9.459628e+00   3.661696e-02   
1.328599e-03   2.609456e+00   3.116990e+00   9.444121e+00   3.579197e-02   
1.341281e-03   2.619243e+00   3.131624e+00   9.428609e+00   3.498992e-02   
1.353964e-03   2.628633e+00   3.145717e+00   9.413139e+00   3.420951e-02   
1.366646e-03   2.637636e+00   3.159283e+00   9.397764e+00   3.344931e-02   
1.379328e-03   2.646263e+00   3.172331e+00   9.382535e+00   3.270802e-02   
1.392010e-03   2.654523e+00   3.184887e+00   9.361617e+00   3.208477e-02   
1.404692e-03   2.662426e+00   3.196898e+00   9.345826e+00   3.139277e-02   
1.417374e-03   2.669983e+00   3.208414e+00   9.330277e+00   3.071657e-02   
1.430056e-03   2.677202e+00   3.219458e+00   9.315011e+00   3.005521e-02   
1.442738e-03   2.684092e+00   3.230070e+00   9.293745e+00   2.950768e-02   
1.455421e-03   2.690663e+00   3.240173e+00   9.277962e+00   2.889038e-02   
1.468103e-03   2.696924e+00   3.249835e+00   9.262549e+00   2.828527e-02   
1.480785e-03   2.702883e+00   3.259102e+00   9.241388e+00   2.778363e-02   
1.493467e-03   2.708549e+00   3.267884e+00   9.225501e+00   2.721873e-02   
1.506149e-03   2.713930e+00   3.276257e+00   9.210047e+00   2.666397e-02   
1.518831e-03   2.719034e+00   3.284271e+00   9.188819e+00   2.620723e-02   
1.531513e-03   2.723868e+00   3.291824e+00   9.172923e+00   2.568924e-02   
1.544195e-03   2.728442e+00   3.299000e+00   9.157519e+00   2.517956e-02   
1.556877e-03   2.732762e+00   3.305825e+00   9.136116e+00   2.476560e-02   
1.569560e-03   2.736835e+00   3.312237e+00   9.120301e+00   2.428953e-02   
1.582242e-03   2.740669e+00   3.318334e+00   9.099609e+00   2.389082e-02   
1.594924e-03   2.744271e+00   3.324029e+00   9.083389e+00   2.344633e-02   
1.607606e-03   2.747647e+00   3.329382e+00   9.067691e+00   2.300826e-02   
1.620288e-03   2.750654e+00   3.334172e+00   9.052505e+00   2.260677e-02   
1.632970e-03   2.752059e+00   3.336463e+00   9.039325e+00   2.248308e-02   
1.645652e-03   2.753378e+00   3.338564e+00   9.031491e+00   2.229963e-02   
1.658334e-03   2.754606e+00   3.340524e+00   9.023718e+00   2.212174e-02   
1.671017e-03   2.755744e+00   3.342342e+00   9.016015e+00   2.194898e-02   
1.683699e-03   2.756791e+00   3.344016e+00   9.008350e+00   2.178141e-02   
1.696381e-03   2.757747e+00   3.345549e+00   9.000718e+00   2.161882e-02   
1.709063e-03   2.758615e+00   3.346942e+00   8.993118e+00   2.146098e-02   
1.721745e-03   2.759396e+00   3.348197e+00   8.985542e+00   2.130775e-02   
1.734427e-03   2.760091e+00   3.349316e+00   8.977979e+00   2.115903e-02   
1.747109e-03   2.760702e+00   3.350303e+00   8.970432e+00   2.101460e-02   
1.759791e-03   2.761232e+00   3.351160e+00   8.962902e+00   2.087426e-02   
1.772474e-03   2.761682e+00   3.351891e+00   8.955383e+00   2.073790e-02   
1.785156e-03   2.762055e+00   3.352498e+00   8.947877e+00   2.060533e-02   
1.797838e-03   2.762352e+00   3.352977e+00   8.940376e+00   2.047651e-02   
1.810520e-03   2.762576e+00   3.353334e+00   8.932882e+00   2.035125e-02   
