#rhoc           M              M_0            R              k_love         
1.074368e-03   1.000000e+00   1.077742e+00   8.118190e+00   1.038142e-01   
1.095334e-03   1.030316e+00   1.113088e+00   8.115732e+00   1.024570e-01   
1.116300e-03   1.060284e+00   1.148216e+00   8.111373e+00   1.011197e-01   
1.137266e-03   1.089875e+00   1.183068e+00   8.108850e+00   9.957908e-02   
1.158232e-03   1.119061e+00   1.217623e+00   8.104486e+00   9.807103e-02   
1.179198e-03   1.147820e+00   1.251839e+00   8.101534e+00   9.640781e-02   
1.200164e-03   1.176132e+00   1.285697e+00   8.096731e+00   9.479227e-02   
1.221130e-03   1.203979e+00   1.319159e+00   8.093470e+00   9.303408e-02   
1.242096e-03   1.231347e+00   1.352218e+00   8.087693e+00   9.137441e-02   
1.263062e-03   1.258222e+00   1.384837e+00   8.082501e+00   8.964183e-02   
1.284028e-03   1.284594e+00   1.417000e+00   8.078339e+00   8.782268e-02   
1.304994e-03   1.310453e+00   1.448702e+00   8.071854e+00   8.610464e-02   
1.325959e-03   1.335793e+00   1.479916e+00   8.065037e+00   8.438352e-02   
1.346925e-03   1.360607e+00   1.510630e+00   8.058359e+00   8.264016e-02   
1.367891e-03   1.384891e+00   1.540833e+00   8.051130e+00   8.091543e-02   
1.388857e-03   1.408639e+00   1.570510e+00   8.043528e+00   7.920436e-02   
1.409823e-03   1.431846e+00   1.599650e+00   8.035761e+00   7.750079e-02   
1.430789e-03   1.454509e+00   1.628240e+00   8.027693e+00   7.581526e-02   
1.451755e-03   1.476625e+00   1.656269e+00   8.019231e+00   7.415537e-02   
1.472721e-03   1.498195e+00   1.683730e+00   8.011009e+00   7.249500e-02   
1.493687e-03   1.519216e+00   1.710615e+00   8.002701e+00   7.085278e-02   
1.514653e-03   1.539692e+00   1.736943e+00   7.990358e+00   6.940258e-02   
1.535619e-03   1.559624e+00   1.762664e+00   7.981282e+00   6.782637e-02   
1.556585e-03   1.579014e+00   1.787797e+00   7.972655e+00   6.625233e-02   
1.577551e-03   1.597868e+00   1.812367e+00   7.959703e+00   6.487798e-02   
1.598517e-03   1.616190e+00   1.836319e+00   7.950419e+00   6.337576e-02   
1.619483e-03   1.633985e+00   1.859709e+00   7.937187e+00   6.205353e-02   
1.640449e-03   1.651259e+00   1.882484e+00   7.927818e+00   6.060468e-02   
1.661415e-03   1.668019e+00   1.904701e+00   7.914323e+00   5.933858e-02   
1.682381e-03   1.684271e+00   1.926328e+00   7.901105e+00   5.808525e-02   
1.703347e-03   1.700022e+00   1.947355e+00   7.890829e+00   5.675069e-02   
1.724313e-03   1.715280e+00   1.967831e+00   7.877197e+00   5.556357e-02   
1.745279e-03   1.730054e+00   1.987705e+00   7.867534e+00   5.426462e-02   
1.766245e-03   1.744351e+00   2.007042e+00   7.853186e+00   5.315506e-02   
1.787211e-03   1.758180e+00   2.025819e+00   7.839064e+00   5.206295e-02   
1.808177e-03   1.771550e+00   2.044042e+00   7.825227e+00   5.098701e-02   
1.829143e-03   1.784469e+00   2.061686e+00   7.815099e+00   4.981887e-02   
1.850109e-03   1.796948e+00   2.078822e+00   7.800571e+00   4.881887e-02   
1.871075e-03   1.808996e+00   2.095427e+00   7.786211e+00   4.783887e-02   
1.892041e-03   1.820621e+00   2.111507e+00   7.771924e+00   4.688192e-02   
1.913007e-03   1.831834e+00   2.127070e+00   7.757482e+00   4.595475e-02   
1.933973e-03   1.842644e+00   2.142125e+00   7.743278e+00   4.504543e-02   
1.954939e-03   1.853061e+00   2.156653e+00   7.732712e+00   4.405730e-02   
1.975905e-03   1.863096e+00   2.170727e+00   7.718002e+00   4.321308e-02   
1.996871e-03   1.872760e+00   2.184325e+00   7.703424e+00   4.238852e-02   
2.017837e-03   1.882062e+00   2.197457e+00   7.688750e+00   4.158949e-02   
2.038803e-03   1.891014e+00   2.210136e+00   7.674297e+00   4.080695e-02   
2.059769e-03   1.899624e+00   2.222368e+00   7.659592e+00   4.005308e-02   
2.080735e-03   1.907903e+00   2.234166e+00   7.645095e+00   3.931518e-02   
2.101701e-03   1.915860e+00   2.245539e+00   7.630510e+00   3.860052e-02   
2.122667e-03   1.923505e+00   2.256465e+00   7.620107e+00   3.780254e-02   
2.143633e-03   1.930847e+00   2.267023e+00   7.605298e+00   3.713535e-02   
2.164599e-03   1.937895e+00   2.277187e+00   7.590480e+00   3.648756e-02   
