#rhoc           M              M_0            R              k_love         
1.106162e-03   1.000000e+00   1.075244e+00   7.725982e+00   1.260533e-01   
1.127964e-03   1.029090e+00   1.109114e+00   7.733548e+00   1.234987e-01   
1.149766e-03   1.057896e+00   1.142818e+00   7.740794e+00   1.208763e-01   
1.171569e-03   1.086395e+00   1.176326e+00   7.747840e+00   1.181906e-01   
1.193371e-03   1.114564e+00   1.209619e+00   7.749985e+00   1.158057e-01   
1.215173e-03   1.142384e+00   1.242653e+00   7.755925e+00   1.130767e-01   
1.236975e-03   1.169836e+00   1.275415e+00   7.757634e+00   1.106066e-01   
1.258777e-03   1.196902e+00   1.307869e+00   7.762981e+00   1.078394e-01   
1.280579e-03   1.223569e+00   1.340012e+00   7.763614e+00   1.053702e-01   
1.302381e-03   1.249820e+00   1.371811e+00   7.764103e+00   1.028837e-01   
1.324183e-03   1.275646e+00   1.403245e+00   7.764266e+00   1.004003e-01   
1.345985e-03   1.301033e+00   1.434297e+00   7.764061e+00   9.792988e-02   
1.367788e-03   1.325973e+00   1.464951e+00   7.763574e+00   9.547310e-02   
1.389590e-03   1.350457e+00   1.495188e+00   7.762974e+00   9.302591e-02   
1.411392e-03   1.374477e+00   1.525002e+00   7.762526e+00   9.057881e-02   
1.433194e-03   1.398028e+00   1.554383e+00   7.756094e+00   8.848738e-02   
1.454996e-03   1.421105e+00   1.583295e+00   7.755096e+00   8.609792e-02   
1.476798e-03   1.443704e+00   1.611760e+00   7.748351e+00   8.404318e-02   
1.498600e-03   1.465822e+00   1.639748e+00   7.741964e+00   8.198194e-02   
1.520402e-03   1.487456e+00   1.667241e+00   7.740114e+00   7.970473e-02   
1.542205e-03   1.508606e+00   1.694259e+00   7.732886e+00   7.773020e-02   
1.564007e-03   1.529271e+00   1.720787e+00   7.725626e+00   7.577949e-02   
1.585809e-03   1.549453e+00   1.746806e+00   7.718258e+00   7.385904e-02   
1.607611e-03   1.569151e+00   1.772320e+00   7.710723e+00   7.197371e-02   
1.629413e-03   1.587951e+00   1.796782e+00   7.703104e+00   7.016928e-02   
1.651215e-03   1.605799e+00   1.820109e+00   7.695443e+00   6.845105e-02   
1.673017e-03   1.623162e+00   1.842901e+00   7.687725e+00   6.676662e-02   
1.694819e-03   1.640044e+00   1.865151e+00   7.680038e+00   6.511255e-02   
1.716622e-03   1.656453e+00   1.886888e+00   7.666705e+00   6.372446e-02   
1.738424e-03   1.672396e+00   1.908077e+00   7.658324e+00   6.215809e-02   
1.760226e-03   1.687879e+00   1.928733e+00   7.650194e+00   6.061375e-02   
1.782028e-03   1.702911e+00   1.948898e+00   7.636781e+00   5.930649e-02   
1.803830e-03   1.717500e+00   1.968522e+00   7.628064e+00   5.784554e-02   
1.825632e-03   1.731654e+00   1.987660e+00   7.614816e+00   5.658447e-02   
1.847434e-03   1.745380e+00   2.006266e+00   7.605692e+00   5.519920e-02   
1.869236e-03   1.758688e+00   2.024403e+00   7.592250e+00   5.399865e-02   
1.891038e-03   1.771585e+00   2.042025e+00   7.583004e+00   5.267794e-02   
1.912841e-03   1.784080e+00   2.059182e+00   7.569153e+00   5.154490e-02   
1.934643e-03   1.796180e+00   2.075837e+00   7.560162e+00   5.027535e-02   
1.956445e-03   1.807895e+00   2.092043e+00   7.545814e+00   4.921146e-02   
1.978247e-03   1.819232e+00   2.107782e+00   7.531838e+00   4.815971e-02   
2.000049e-03   1.830200e+00   2.123040e+00   7.522629e+00   4.698377e-02   
2.021851e-03   1.840807e+00   2.137870e+00   7.508061e+00   4.600186e-02   
2.043653e-03   1.851060e+00   2.152266e+00   7.493722e+00   4.503636e-02   
2.065455e-03   1.860967e+00   2.166225e+00   7.479550e+00   4.408938e-02   
2.087258e-03   1.870538e+00   2.179719e+00   7.470098e+00   4.302999e-02   
2.109060e-03   1.879778e+00   2.192819e+00   7.455354e+00   4.214810e-02   
2.130862e-03   1.888697e+00   2.205518e+00   7.440716e+00   4.128530e-02   
2.152664e-03   1.897302e+00   2.217796e+00   7.426164e+00   4.044201e-02   
2.174466e-03   1.905599e+00   2.229688e+00   7.411653e+00   3.961917e-02   
2.196268e-03   1.913597e+00   2.241177e+00   7.397176e+00   3.881672e-02   
2.218070e-03   1.921303e+00   2.252254e+00   7.387555e+00   3.791077e-02   
2.239872e-03   1.928724e+00   2.262993e+00   7.372660e+00   3.716254e-02   
2.261675e-03   1.935867e+00   2.273345e+00   7.357797e+00   3.643318e-02   
2.283477e-03   1.942739e+00   2.283351e+00   7.342967e+00   3.572229e-02   
2.305279e-03   1.949346e+00   2.292990e+00   7.328153e+00   3.502996e-02   
2.327081e-03   1.955697e+00   2.302288e+00   7.313351e+00   3.435586e-02   
2.348883e-03   1.961795e+00   2.311248e+00   7.298567e+00   3.369951e-02   
2.370685e-03   1.967650e+00   2.319863e+00   7.283779e+00   3.306099e-02   
2.392487e-03   1.973266e+00   2.328165e+00   7.268995e+00   3.243970e-02   
2.414289e-03   1.978650e+00   2.336135e+00   7.254219e+00   3.183517e-02   
2.436091e-03   1.983808e+00   2.343793e+00   7.239437e+00   3.124730e-02   
2.457894e-03   1.988746e+00   2.351117e+00   7.230001e+00   3.056271e-02   
2.479696e-03   1.993469e+00   2.358164e+00   7.215018e+00   3.001270e-02   
2.501498e-03   1.997984e+00   2.364930e+00   7.200049e+00   2.947750e-02   
2.523300e-03   2.002296e+00   2.371399e+00   7.185092e+00   2.895683e-02   
2.545102e-03   2.006410e+00   2.377586e+00   7.170145e+00   2.845034e-02   
2.566904e-03   2.010331e+00   2.383510e+00   7.155216e+00   2.795753e-02   
2.588706e-03   2.014066e+00   2.389160e+00   7.140301e+00   2.747810e-02   
2.610508e-03   2.017618e+00   2.394542e+00   7.125398e+00   2.701176e-02   
2.632311e-03   2.020994e+00   2.399678e+00   7.110518e+00   2.655794e-02   
2.654113e-03   2.024197e+00   2.404569e+00   7.095662e+00   2.611632e-02   
2.675915e-03   2.027232e+00   2.409199e+00   7.080830e+00   2.568657e-02   
2.697717e-03   2.030105e+00   2.413599e+00   7.066027e+00   2.526828e-02   
2.719519e-03   2.032820e+00   2.417776e+00   7.051269e+00   2.486087e-02   
2.741321e-03   2.035380e+00   2.421716e+00   7.036532e+00   2.446447e-02   
2.763123e-03   2.037791e+00   2.425429e+00   7.021848e+00   2.407826e-02   
2.784925e-03   2.040056e+00   2.428904e+00   7.012504e+00   2.361317e-02   
2.806727e-03   2.042180e+00   2.432185e+00   6.997547e+00   2.325403e-02   
2.828530e-03   2.044166e+00   2.435264e+00   6.982633e+00   2.290421e-02   
2.850332e-03   2.046019e+00   2.438154e+00   6.967770e+00   2.256337e-02   
2.872134e-03   2.047742e+00   2.440847e+00   6.952970e+00   2.223106e-02   
2.893936e-03   2.049339e+00   2.443337e+00   6.938230e+00   2.190709e-02   
2.915738e-03   2.050814e+00   2.445651e+00   6.923575e+00   2.159087e-02   
2.937540e-03   2.052170e+00   2.447792e+00   6.909011e+00   2.128212e-02   
2.959342e-03   2.053410e+00   2.449745e+00   6.894551e+00   2.098046e-02   
2.981144e-03   2.054538e+00   2.451476e+00   6.885056e+00   2.061324e-02   
3.002947e-03   2.055558e+00   2.453098e+00   6.870215e+00   2.033477e-02   
3.024749e-03   2.056471e+00   2.454536e+00   6.855488e+00   2.006244e-02   
3.046551e-03   2.057282e+00   2.455827e+00   6.840894e+00   1.979582e-02   
3.068353e-03   2.057994e+00   2.456973e+00   6.826453e+00   1.953449e-02   
3.090155e-03   2.058609e+00   2.457908e+00   6.817503e+00   1.920346e-02   
3.111957e-03   2.059130e+00   2.458742e+00   6.802625e+00   1.896360e-02   
3.133759e-03   2.059559e+00   2.459445e+00   6.787919e+00   1.872812e-02   
3.155561e-03   2.059901e+00   2.459990e+00   6.773410e+00   1.849655e-02   
3.177364e-03   2.060157e+00   2.460412e+00   6.759109e+00   1.826871e-02   
3.199166e-03   2.060330e+00   2.460658e+00   6.750039e+00   1.797795e-02   
3.220968e-03   2.060422e+00   2.460806e+00   6.735300e+00   1.776929e-02   
3.242770e-03   2.060435e+00   2.460850e+00   6.720820e+00   1.756309e-02   
3.264572e-03   2.060373e+00   2.460767e+00   6.706627e+00   1.735903e-02   
