#rhoc           M              M_0            R              k_love         
6.317368e-04   1.000000e+00   1.065319e+00   9.833661e+00   1.254880e-01   
6.480829e-04   1.036487e+00   1.106699e+00   9.833577e+00   1.241003e-01   
6.644290e-04   1.072584e+00   1.147826e+00   9.833106e+00   1.225469e-01   
6.807751e-04   1.108248e+00   1.188649e+00   9.831847e+00   1.208726e-01   
6.971212e-04   1.143441e+00   1.229133e+00   9.829635e+00   1.191084e-01   
7.134673e-04   1.178129e+00   1.269216e+00   9.827171e+00   1.172283e-01   
7.298134e-04   1.212281e+00   1.308856e+00   9.823928e+00   1.152803e-01   
7.461595e-04   1.245868e+00   1.348035e+00   9.819899e+00   1.132818e-01   
7.625056e-04   1.278865e+00   1.386696e+00   9.815007e+00   1.112488e-01   
7.788517e-04   1.311250e+00   1.424811e+00   9.810512e+00   1.091248e-01   
7.951978e-04   1.343001e+00   1.462360e+00   9.803889e+00   1.070617e-01   
8.115438e-04   1.374098e+00   1.499300e+00   9.796827e+00   1.049757e-01   
8.278899e-04   1.404522e+00   1.535603e+00   9.789259e+00   1.028808e-01   
8.442360e-04   1.434258e+00   1.571242e+00   9.781234e+00   1.007837e-01   
8.605821e-04   1.463294e+00   1.606195e+00   9.772909e+00   9.868451e-02   
8.769282e-04   1.491620e+00   1.640457e+00   9.761842e+00   9.671191e-02   
8.932743e-04   1.519229e+00   1.673986e+00   9.752091e+00   9.466947e-02   
9.096204e-04   1.546116e+00   1.706769e+00   9.742684e+00   9.261387e-02   
9.259665e-04   1.572277e+00   1.738827e+00   9.729829e+00   9.072901e-02   
9.423126e-04   1.597712e+00   1.770114e+00   9.717434e+00   8.883234e-02   
9.586587e-04   1.622423e+00   1.800632e+00   9.706157e+00   8.690147e-02   
9.750048e-04   1.646412e+00   1.830393e+00   9.692543e+00   8.509443e-02   
9.913509e-04   1.669684e+00   1.859375e+00   9.678856e+00   8.331183e-02   
1.007697e-03   1.692245e+00   1.887565e+00   9.667537e+00   8.145433e-02   
1.024043e-03   1.714102e+00   1.915004e+00   9.652882e+00   7.976587e-02   
1.040389e-03   1.735263e+00   1.941670e+00   9.638104e+00   7.811082e-02   
1.056735e-03   1.755737e+00   1.967568e+00   9.623177e+00   7.649198e-02   
1.073081e-03   1.775534e+00   1.992703e+00   9.608092e+00   7.491115e-02   
1.089427e-03   1.794666e+00   2.017082e+00   9.592913e+00   7.336698e-02   
1.105774e-03   1.813145e+00   2.040712e+00   9.577643e+00   7.186030e-02   
1.122120e-03   1.830982e+00   2.063627e+00   9.559062e+00   7.051033e-02   
1.138466e-03   1.848192e+00   2.085794e+00   9.543099e+00   6.909694e-02   
1.154812e-03   1.864789e+00   2.107242e+00   9.527124e+00   6.771896e-02   
1.171158e-03   1.880788e+00   2.127983e+00   9.511199e+00   6.637436e-02   
1.187504e-03   1.896203e+00   2.148033e+00   9.495428e+00   6.505975e-02   
1.203850e-03   1.911050e+00   2.167434e+00   9.476312e+00   6.389298e-02   
1.220196e-03   1.925344e+00   2.186150e+00   9.459845e+00   6.267005e-02   
1.236542e-03   1.939100e+00   2.204212e+00   9.443628e+00   6.147303e-02   
1.252888e-03   1.952333e+00   2.221639e+00   9.427729e+00   6.029986e-02   
1.269234e-03   1.965058e+00   2.238480e+00   9.408002e+00   5.928097e-02   
1.285581e-03   1.977289e+00   2.254685e+00   9.391516e+00   5.819136e-02   
1.301927e-03   1.989041e+00   2.270296e+00   9.375439e+00   5.712156e-02   
1.318273e-03   2.000329e+00   2.285366e+00   9.355787e+00   5.619099e-02   
1.334619e-03   2.011166e+00   2.299846e+00   9.339191e+00   5.519850e-02   
1.350965e-03   2.021566e+00   2.313775e+00   9.323042e+00   5.422336e-02   
1.367311e-03   2.031543e+00   2.327208e+00   9.303435e+00   5.337726e-02   
1.383657e-03   2.041112e+00   2.340095e+00   9.286817e+00   5.247338e-02   
1.400003e-03   2.050285e+00   2.352476e+00   9.270646e+00   5.158520e-02   
1.416349e-03   2.059077e+00   2.364405e+00   9.251163e+00   5.081551e-02   
1.432695e-03   2.067499e+00   2.375835e+00   9.234540e+00   4.999314e-02   
1.449041e-03   2.075565e+00   2.386800e+00   9.218353e+00   4.918504e-02   
1.465388e-03   2.083287e+00   2.397323e+00   9.202587e+00   4.839138e-02   
1.481734e-03   2.090676e+00   2.407454e+00   9.182510e+00   4.773461e-02   
1.498080e-03   2.097744e+00   2.417130e+00   9.166282e+00   4.700072e-02   
1.514426e-03   2.104502e+00   2.426400e+00   9.150422e+00   4.628083e-02   
1.530772e-03   2.110961e+00   2.435317e+00   9.130919e+00   4.567468e-02   
1.547118e-03   2.117131e+00   2.443822e+00   9.114610e+00   4.500977e-02   
1.563464e-03   2.123023e+00   2.451955e+00   9.098618e+00   4.435836e-02   
1.579810e-03   2.128646e+00   2.459732e+00   9.082924e+00   4.372054e-02   
1.596156e-03   2.134009e+00   2.467203e+00   9.063591e+00   4.318945e-02   
1.612502e-03   2.139122e+00   2.474309e+00   9.047506e+00   4.259983e-02   
1.628848e-03   2.143994e+00   2.481089e+00   9.031631e+00   4.202415e-02   
1.645195e-03   2.148634e+00   2.487556e+00   9.015953e+00   4.146234e-02   
1.661541e-03   2.153049e+00   2.493721e+00   9.000460e+00   4.091419e-02   
