#rhoc           M              M_0            R              k_love         
6.791732e-04   1.000000e+00   1.070360e+00   9.802605e+00   1.069533e-01   
6.970603e-04   1.036131e+00   1.111620e+00   9.793747e+00   1.065264e-01   
7.149475e-04   1.071390e+00   1.152085e+00   9.785024e+00   1.058786e-01   
7.328346e-04   1.105764e+00   1.191715e+00   9.775914e+00   1.050624e-01   
7.507218e-04   1.139241e+00   1.230487e+00   9.766852e+00   1.040777e-01   
7.686089e-04   1.171817e+00   1.268378e+00   9.757862e+00   1.029452e-01   
7.864960e-04   1.203490e+00   1.305405e+00   9.747178e+00   1.017770e-01   
8.043832e-04   1.234262e+00   1.341523e+00   9.737177e+00   1.004669e-01   
8.222703e-04   1.264136e+00   1.376731e+00   9.726392e+00   9.910630e-02   
8.401574e-04   1.293119e+00   1.411065e+00   9.715094e+00   9.769701e-02   
8.580446e-04   1.321222e+00   1.444477e+00   9.703198e+00   9.625414e-02   
8.759317e-04   1.348455e+00   1.476993e+00   9.691377e+00   9.475738e-02   
8.938189e-04   1.374832e+00   1.508633e+00   9.678063e+00   9.329219e-02   
9.117060e-04   1.400368e+00   1.539367e+00   9.664885e+00   9.178829e-02   
9.295931e-04   1.425077e+00   1.569206e+00   9.652684e+00   9.021600e-02   
9.474803e-04   1.448978e+00   1.598205e+00   9.638208e+00   8.873400e-02   
9.653674e-04   1.472088e+00   1.626361e+00   9.623527e+00   8.725088e-02   
9.832546e-04   1.494422e+00   1.653659e+00   9.608619e+00   8.577318e-02   
1.001142e-03   1.516001e+00   1.680144e+00   9.593491e+00   8.430555e-02   
1.019029e-03   1.536842e+00   1.705798e+00   9.578186e+00   8.285033e-02   
1.036916e-03   1.556964e+00   1.730654e+00   9.562761e+00   8.140871e-02   
1.054803e-03   1.576386e+00   1.754760e+00   9.544451e+00   8.009971e-02   
1.072690e-03   1.595127e+00   1.778078e+00   9.528407e+00   7.870870e-02   
1.090577e-03   1.613206e+00   1.800648e+00   9.512017e+00   7.734851e-02   
1.108465e-03   1.630641e+00   1.822485e+00   9.495949e+00   7.599388e-02   
1.126352e-03   1.647452e+00   1.843623e+00   9.477245e+00   7.476368e-02   
1.144239e-03   1.663657e+00   1.864040e+00   9.460429e+00   7.347977e-02   
1.162126e-03   1.679273e+00   1.883781e+00   9.443814e+00   7.221093e-02   
1.180013e-03   1.694319e+00   1.902855e+00   9.427570e+00   7.095214e-02   
