# 1:EOS 2:M 3:M0 4:Re 5:Rp
ALF2 2.510254 2.928461 15.97156 8.7111938808
TMA 2.466541 2.830338 16.88558 9.4706675999
H4 2.476984 2.855665 16.22205 9.09408123
LS220 2.451828 2.881334 14.60514 8.24742178253
SFHo 2.473178 2.912048 13.91418 7.8432688186
SLy 2.507342 2.985524 13.28956 7.4540690195
BHBlp 2.549901 2.961749 15.75992 8.86385810957
APR 2.601666 3.096575 12.94075 7.29581756173
DD2 2.955318 3.521266 15.85523 8.8607571209
TM1 2.679495 3.09565 17.36221 9.77025900417
2B 2.162003 2.580824 11.20392 6.30615326141
2H 3.461828 4.145367 17.94285 10.0255566718
ENG 2.759074 3.33214 13.77127 7.68117510249
MS1 3.427183 4.127858 17.57105 9.74745564646
MPA1 3.065678 3.74128 14.84047 8.21786128895
