 name         t90      fluence    fluence_error fluence_batse fluence_batse_error 
 GRB081101491    0.128 1.6822e-07    3.6450e-09    8.5988e-08          1.5028e-09 
 GRB100417166    0.192 3.3110e-07    4.5356e-09    1.7514e-07          1.9639e-09 
 GRB240916609    0.192 1.4606e-07    6.8491e-09    3.8053e-08          2.1883e-09 
 GRB220606044    0.896 6.3086e-08    4.3530e-09    3.2797e-08          2.3890e-09 
 GRB091223191    0.576 2.7862e-07    4.1775e-09    1.5619e-07          2.4418e-09 
 GRB100621529    1.024 1.3749e-07    4.5159e-09    8.3317e-08          2.5139e-09 
 GRB190507712    0.096 1.1122e-07    4.8345e-09    6.3946e-08          2.5988e-09 
 GRB230712027    0.832 4.8886e-08    6.8571e-09    1.9961e-08          2.7401e-09 
 GRB140110411    0.768 4.5951e-08    5.5071e-09    2.1638e-08          2.8885e-09 
 GRB230806168    0.576 1.3130e-07    5.3131e-09    8.3975e-08          2.9011e-09 
 GRB080919790    0.512 4.5867e-08    5.0626e-09    2.3562e-08          2.9532e-09 
 GRB091019750    0.208 9.0551e-08    6.1599e-09    6.0818e-08          3.0340e-09 
 GRB091215234    4.352 9.8660e-07    1.2328e-08    4.3761e-07          3.3511e-09 
 GRB100223110    0.256 1.4986e-06    1.1277e-08    3.0944e-07          3.3935e-09 
 GRB100208386    0.192 1.8078e-07    1.4529e-08    4.3284e-08          3.3940e-09 
 GRB200706231    0.832 6.0408e-08    7.5004e-09    2.8691e-08          3.3998e-09 
 GRB080802386    0.576 3.9772e-07    6.8520e-09    2.5361e-07          3.4556e-09 
 GRB240628817    0.225 3.5529e-07    6.2648e-09    1.5802e-07          3.4657e-09 
 GRB100706693    0.128 1.3164e-07    6.8615e-09    6.5460e-08          3.4789e-09 
 GRB130307126    0.384 4.7880e-07    6.8138e-09    2.5249e-07          3.4840e-09 
 GRB240615744    0.096 1.5293e-06    6.7668e-09    4.4900e-07          3.4878e-09 
 GRB190630257    0.224 4.6949e-07    6.0651e-09    2.6877e-07          3.5840e-09 
 GRB230301687    0.768 1.8447e-07    8.9256e-09    8.2964e-08          3.5952e-09 
 GRB240205662    0.192 6.8850e-08    6.1056e-09    3.2756e-08          3.5975e-09 
 GRB230112342    0.160 1.7881e-07    6.6857e-09    1.1145e-07          3.6603e-09 
 GRB220412713    0.160 4.3263e-07    6.7839e-09    1.8032e-07          3.7289e-09 
