name        t90     t90_error fluence_batse fluence_batse_error flux_batse_1024 flux_batse_1024_error flux_batse_64 flux_batse_64_error
GRB120403857   4.288    1.935   1.2524e-07         1.0849e-08         0.3980               0.0618       0.6028             0.2459
GRB120227725  17.408    0.810   1.3652e-05         5.1814e-08         8.0612               0.3301      11.1926             1.4290
GRB230524357  11.008    4.720   8.9879e-07         2.6751e-08         1.4725               0.1012       2.6118             0.4957
GRB231031144  11.520    2.573   5.2982e-07         1.3040e-08         0.7703               0.0797       1.4062             0.4325
GRB141205018  13.056    1.280   8.5376e-07         2.3433e-08         1.1442               0.1513       2.4750             0.6682
GRB180630467  12.032    1.864   1.4429e-06         1.4089e-08         2.4038               0.1356       3.0549             0.5811
GRB170116238   9.216    3.620   6.7657e-07         5.0212e-08         1.1060               0.1662       2.5984             0.7796
GRB091026550   8.960    1.379   7.1693e-07         2.7196e-08         1.2076               0.4945       4.1017             2.0609
GRB230428381   4.352    1.639   1.7023e-07         1.5841e-08         0.3572               0.0521       0.6769             0.2039
GRB150312403   0.320    0.547   1.0083e-07         1.1822e-08         0.5412               0.0840       3.5757             0.5120
GRB230307656  34.561    0.572   9.9188e-04         1.3877e-07       321.2830               2.5171     394.8520            10.8878
GRB190806675  20.992    2.374   7.1796e-06         1.1487e-07         5.0777               0.4223       8.9410             1.9904
GRB210721978   9.984    2.721   5.6324e-07         3.8397e-08         0.9349               0.0921       2.3444             0.4684
GRB110520302  12.288   11.336   5.7598e-07         2.6819e-08         0.7220               0.0996       1.3290             0.6345
GRB121216419   9.216    2.560   2.1735e-07         1.3940e-08         0.5343               0.0774       1.4170             0.5351
GRB200107810  81.154    1.086   2.3060e-06         1.2188e-08         1.2059               0.0993       1.9045             0.5103
GRB240119729   0.832    0.923   3.6184e-07         1.7641e-08         1.3863               0.2110       9.2584             1.6545
GRB210411564  47.873    6.607   2.1793e-06         3.0492e-08         0.9587               0.0835       1.8453             0.4261
GRB190304818   2.880    0.547   1.9128e-06         2.1701e-08         7.1502               0.3477      16.5635             1.9306
GRB101227195  95.488    1.639   1.9333e-06         4.9500e-08         1.2830               0.1265       4.0541             0.8583
GRB220430900  30.464    3.974   3.6821e-07         1.6327e-08         0.5983               0.0725       1.3760             0.3287
GRB200607921  26.625    1.305   6.9799e-06         2.0073e-08         4.0200               0.1644       5.4000             0.6727
GRB160326062  19.456    0.724   8.9540e-07         1.6347e-08         0.6846               0.0704       1.8907             0.5469
GRB230426853  25.856    0.724   2.6786e-05         3.6368e-08        19.8499               0.2513      23.8835             1.1072
GRB231129799   5.824    0.091   5.1978e-05         1.4640e-08        63.4507               0.3778      69.0735             1.5928
GRB220413167   0.512    2.360   2.2540e-08         8.8579e-09         0.1659               0.0658       0.6532             0.3127
GRB101116481   0.576    0.820   1.5498e-07         3.6213e-08         0.8755               0.1449       3.0264             0.6715
GRB220921473  44.288    2.429   1.2079e-06         1.4637e-08         0.4983               0.0727       1.2279             0.3385
GRB170130697  29.184    6.155   7.7624e-07         3.0320e-08         0.3270               0.0437       0.5715             0.1830
GRB190825171  12.032    5.345   1.1398e-07         1.2474e-08         0.2419               0.0799       1.0052             0.3566
GRB080714425  40.192    1.145   9.7889e-07         1.3575e-08         0.4650               0.0818       1.0267             0.4502
GRB110205027   5.376    3.278   3.0110e-07         4.0241e-08         1.1374               0.1526       2.5646             0.7061
GRB110825265  48.128    1.493   1.1809e-06         1.3068e-08         0.7049               0.0780       1.2087             0.3194
GRB160919613  62.465    3.665   2.9483e-06         2.8869e-08         1.3581               0.1080       2.4172             0.5265
GRB120830212  16.064    3.649   3.9688e-06         1.1721e-07         3.7610               0.2071       6.9431             0.9959
GRB140323433 111.426    3.027   1.8051e-05         1.0813e-07         4.8893               0.1382       5.7943             0.5512
GRB220415645  23.040    1.619   1.4784e-06         2.6381e-08         0.8596               0.1106       2.3390             0.8314
GRB181007737  23.552    0.362   1.8118e-06         1.6655e-08         1.2105               0.0929       1.9853             0.4287
GRB240112914   3.264    0.462   4.6584e-07         2.6625e-08         1.1964               0.1670       3.6779             0.8972
GRB190422284  80.386    0.724   6.5292e-06         2.8285e-08         2.5676               0.1675       3.5297             0.6585
GRB100325246   8.192    1.086   5.7374e-07         8.4263e-09         1.2241               0.2387       1.6800             0.7690
GRB100507577  44.033    5.221   7.1395e-06         6.0736e-08         1.8181               0.1184       2.7745             0.5211
GRB200907957 140.803    1.056   1.9290e-05         2.5198e-08         5.6427               0.1683       7.0099             0.6150
