name t90 flnc_bol
GRB120403857 4.29 4.424e-07
GRB120227725 17.41 1.3915776053377122e-05
GRB141205018 13.06 1.6553865748093697e-06
GRB180630467 12.03 1.685400873994799e-06
GRB170116238 9.22 8.899e-07
GRB091026550 8.96 2.4850000000000003e-06
GRB150312403 0.32 8.290357836982801e-08
GRB110520302 12.29 9.009888203212743e-07
GRB121216419 9.22 4.5490000000000003e-07
GRB200107810 81.15 4.0811e-06
GRB101227195 95.49 1.8070873304822974e-06
GRB220430900 30.46 6.800000000000001e-07
GRB200607921 26.63 1.1548e-05
GRB160326062 19.46 1.8306e-06
GRB220413167 0.51 3.72e-08
GRB210411564 47.87 3.7490000000000004e-06
GRB101116481 0.58 9.96950288851346e-08
GRB220921473 44.29 2.3189e-06
GRB170130697 29.18 1.0762e-06
GRB190304818 2.88 2.9826e-06
GRB110205027 5.38 4.1400000000000003e-07
GRB110825265 48.13 9.201289405126492e-07
GRB160919613 62.47 1.5297880080870414e-06
GRB120830212 16.06 3.6149696653910417e-06
GRB140323433 111.43 1.626899813595636e-05
GRB220415645 23.04 2.8950000000000002e-06
GRB181007737 23.55 3.0597e-06
GRB190825171 12.03 2.163e-07
GRB100325246 8.19 7.473463905338199e-07
GRB100507577 44.03 3.7114539844110608e-06
GRB200907957 140.8 4.0466e-05
GRB080714425 40.19 1.7057e-06
GRB171206122 15.36 1.4104906876397692e-06
GRB140518709 0.7000000000000001 9.27e-08
GRB130623488 22.27 1.5185239322573938e-06
GRB141004150 9.47 4.6690000000000005e-06
GRB101024486 20.22 2.3631000000000003e-06
GRB200119692 19.2 1.8743e-06
GRB210919653 1.6 3.307e-07
GRB210826293 19.71 1.2052e-05
GRB190628521 19.2 2.2606e-06
GRB190422284 80.39 1.3558000000000001e-05
GRB110716018 7.17 4.850426080996724e-07
GRB220315101 0.77 4.103e-07
GRB110819665 16.38 1.595167235282933e-06
GRB190731943 15.87 8.864800000000001e-05
GRB230307656 34.56 0.0031474999999999997
GRB221203537 3.52 8.198000000000001e-07
GRB090810659 125.18 7.7763e-06
GRB180622273 13.57 1.0051678798005581e-06
GRB160406570 66.56 1.5244632965356764e-06
GRB130804023 0.96 1.1370720649281956e-06
GRB161020759 24.32 2.215449836369789e-05
GRB120114433 2.75 2.1550000000000002e-07
GRB170121067 2.3 4.806180545625289e-06
